Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategory,Product Page URL,Attachment URL,Image URL
ADS Dental,ModelEOS Extraoral Suction SystemUV Light Specifications,ADS Dental,"Model,EOS Extraoral Suction System,UV Light Specifications",EOS Extraoral Dental Suction System,"

The EOS suction system-Aerosols and Droplets annihilator is designed and engineered to reduce droplet and aerosol spray that is an innate part of dental care. During dental procedures, Droplets and Aerosols are passed on to the dentist and staff's bodies. Patient care and the safety and health of the staff and the dentist is paramount, for the elimination of blood, aerosols and fine liquid particles. All of which are annihilated by the ADS EOS extraoral dental suction system.The ADS EOS extraoral dental suction system collects aerosols, droplets, dust and pathogens produced during routine dental procedures through a suction mouthpiece hood. Particulate matter is filtrated by the dust/particulate filter. The HEPA filter captures particles down to 0.3 microns with 99.995% efficiency. Clean dry air is exhausted from the base cabinet. The UVC lights are positioned on the HEPA filter and kill any remaining bacteria and viruses captured by the HEPA filter and are exhausted from the cabinet base. In ISO16890, European standard EN 1822:2009, EN 779:2012 and  DOE-STD-3020-2015. Specification for HEPA Filters Used by DOE Contractors, all mention HEPA filter H14 is a medical-grade filter that filters a minimum of 99.97% particles @ 0.3 microns (PM 0.3) or larger. With our special module design in the EOS Extraoral Suction System, fine filter, suction motor, UV light and HEPA filter are tightly buckled together into one metal module which is well sealed, this reliable structure helps to trap the dirty air inside, will not be leaked. In the article from CDC infection control online, mention the HEPA filter must be well sealed, a wooden or metal frame is required, a metal frame is much better. The ADS dental suction system is using a metal frame for a HEPA filter.Buy dental instruments at ADS and contact us now!

Request a quote
The aerosol and droplet eliminators of the EOS system have been specially designed and manufactured to reduce the droplets and aerosol spray inherent in dental care. During dental procedures, droplets and aerosols are passed on to the dentist and medical staff's bodies. In order to eliminate blood, aerosols and fine liquid particles, it is essential for patient care and the safety and hygiene of staff and dentists. All of these were wiped out by the ADS EOS system.",,,EOS Suction System,,https://www.adsdental.com//eos-suction-system/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200519/10/eos-suction-system_1589855681.jpg,https://www.adsdental.com//uploads/image/20200708/09/eos-suction-system-2_1594171941.jpg"
ADS Dental,,ADS Dental,,EOS Noise Reduction Arm,"
Adjustable joints, more flexible and convenient, adjustable to any angle
Request a quote
Adjustable joints, more flexible and convenient, adjustable to any angle",,,EOS Suction System,,https://www.adsdental.com//eos-noise-reduction-arm/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20210205/14/eos-noise-reduction-arm.jpg
ADS Dental,,ADS Dental,,EOS Extraoral Dental Suction System II,"
The EOS suction system-Aerosols and Droplets annihilator is designed and engineered to reduce droplet and aerosol spray that is an innate part of dental care. During dental procedures, Droplets and Aerosols are passed on to the dentist and staff's bodies. Patient care and the safety and health of the staff and the dentist is paramount, for the elimination of blood, aerosols and fine liquid particles. All of which are annihilated by the ADS EOS extraoral dental suction system.The ADS EOS extraoral dental suction system collects aerosols, droplets, dust and pathogens produced during routine dental procedures through a suction mouthpiece hood. Particulate matter is filtrated by the dust/particulate filter. The HEPA filter captures particles down to 0.3 microns with 99.995% efficiency. Clean dry air is exhausted from the base cabinet. The UVC lights are positioned on the HEPA filter and kill any remaining bacteria and viruses captured by the HEPA filter and are exhausted from the cabinet base. In ISO16890, European standard EN 1822:2009, EN 779:2012 and  DOE-STD-3020-2015. Specification for HEPA Filters Used by DOE Contractors, all mention HEPA filter H14 is a medical-grade filter that filters a minimum of 99.97% particles @ 0.3 microns (PM 0.3) or larger. With our special module design in the EOS Extraoral Suction System, fine filter, suction motor, UV light and HEPA filter are tightly buckled together into one metal module which is well sealed, this reliable structure helps to trap the dirty air inside, will not be leaked. In the article from CDC infection control online, mention the HEPA filter must be well sealed, a wooden or metal frame is required, a metal frame is much better. The ADS dental suction system is using a metal frame for a HEPA filter.Buy dental instruments at ADS and contact us now!
Request a quote
The aerosol and droplet eliminators of the EOS system have been specially designed and manufactured to reduce the droplets and aerosol spray inherent in dental care. During dental procedures, droplets and aerosols are passed on to the dentist and medical staff's bodies. In order to eliminate blood, aerosols and fine liquid particles, it is essential for patient care and the safety and hygiene of staff and dentists. All of these were wiped out by the ADS EOS system.",,,EOS Suction System,,https://www.adsdental.com//eos-extraoral-dental-suction-system-ii/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20210205/16/20210205163408.jpg,https://www.adsdental.com//uploads/image/20210205/14/eos-suction-system-2.jpg"
ADS Dental,,ADS Dental,,Vacuum Parts,,,,Dental Chair Parts,,https://www.adsdental.com//products/vacuum-parts/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/13/9vacuum-parts.jpg
ADS Dental,,ADS Dental,,Electrical Parts,,,,Dental Chair Parts,,https://www.adsdental.com//products/electrical-parts/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/13/9electrical-parts.jpg
ADS Dental,,ADS Dental,,Hardware,,,,Dental Chair Parts,,https://www.adsdental.com//products/hardware/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/13/9hardware.jpg
ADS Dental,,ADS Dental,,Valves & Tubings,,,,Dental Chair Parts,,https://www.adsdental.com//products/valves-tubings/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/13/9valves--tubings.jpg
ADS Dental,Weight,ADS Dental,Weight,Surgical Chair,"
Uncompromising quality and supportPerfect surgical comfortSuitable for vulnerable groupsMultiple colors to be selectedPremium quality at an affordable priceMaximum leg roomBenefit from quick and identical  processes and position your patients asdesired at the push of a button, using either the hand-held remote control or foot control
Request a quote
Uncompromising quality and support. Perfect surgical comfort. Suitable for vulnerable groups. Multiple colors to be selected. Premium quality at an affordable price. Maximum leg room.",,,Surgical Chairs & Light,,https://www.adsdental.com//products/surgical-chair/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20210317/15/.jpg,https://www.adsdental.com//uploads/image/20200612/12/aj-16-chiar-1_1591935753.jpg"
ADS Dental,,ADS Dental,,LEO Surgical Light,"

Request a quote
",,,Surgical Chairs & Light,,https://www.adsdental.com//products/leo-surgical-light/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200605/13/6-sugical-chair--surgical-lightleo-surgical-light.jpg,https://www.adsdental.com//uploads/image/20200601/18/leo-ceiling-mount-led-dental-surgical-light-1.jpg"
ADS Dental,,ADS Dental,,Libra Surgical Light,"

Request a quote
",,,Surgical Chairs & Light,,https://www.adsdental.com//products/libra-surgical-light/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,"https://www.adsdental.com/https://www.adsdental.com/uploads/image/20200605/13/6-sugical-chair--surgical-lightlibra-sugical-light.jpg,https://www.adsdental.com//uploads/image/20200601/18/libra-ceiling-mount-led-dental-light-1.jpg"
ADS Dental,A091502A121532HP Fiber optic system with 1 tubing (6 pin),ADS Dental,"A091502,A121532,HP Fiber optic system with 1 tubing (6 pin)",AJ15 Ortho dental chair OC-2,"
AJ15 hydraulic chair with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Narrow backrest, upgraded fiber leather,Cast iron chair frame,Steel backrest stand,Steel base plate,60 degrees seat rotation, chair safety switch,One touchpad attached on armrest, Foot controlOrtho post mount (40"") Whale LED LightOC-2 Enlarged Orthodontic Mobile CartSolid surface table,With 3 auto H.P.control,Master on/off switch,1 syringe,1HVE,1SE,Self contained water bottle system,Wet/Dry foot control,5 drawers,Junction box and valves,8'umbilical,5 Hole Plug
Request a quote
AJ15 hydraulic chair with 3 programmable positions,Articulating headrest,Swing up/down aluminium armrest,Narrow backrest, upgraded fiber leather,Cast iron chair frame,Steel backrest stand.",,,Orthodontic Chair,,https://www.adsdental.com//products/aj15-ortho-dental-chair-oc-2/,https://www.adsdental.com//eos-extraoral-suction-system-operation-principle.pdf,https://www.adsdental.com/uploads/image/20200605/12/7-orthodontic-chair--ortho-cartaj15-ortho-dental-chair-with-oc-2.jpg
