Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategories,Product Page URL,Attachement,Image URL
Accutron,33030-10,Accutron,33030-10,Adult Cannula with 7 ft. Tubing (pkg. of 10),"Description
Surgery System Accessories",,,digital-ultratm-oral-surgery,,https://www.hufriedygroup.com/digital-ultratm-oral-surgery/adult-cannula-7-ft-tubing-pkg-10,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-NasalMask-InfoSheet-2206-web-1.pdf,/documents/34082",https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/HuFriedyGroup-33030-10-adult-cannula-with-7-ft-tubing-pkg-of-10-adult-cannula-with-7-ft-tubing-pkg-of-10-2104.jpg?itok=cp1wLj5G
Accutron,56800-CHAIR,Accutron,56800-CHAIR,Accutron™ Digital Ultra™ Flushmount Package H CHAIR — Remote Flow System for RFS Chairmount Kits (sold separately),"Description
The Digital Ultra™ Flushmount is the right choice for clinicians who prefer to work in a digital environment but want critical parameters displayed both numerically and as electronic flow tubes. The ease of color-coded, fingertip controls is an additional feature of the flowmeter. Its sealed flush surface makes it easy to disinfect or barrier-protect. The unit's design complements aseptic, contemporary operatory environments.

Automatic compensation to easily adjust total flow or gas ratiowhile the other stays constant.
Both digital and electronic flowtube displays for ease of use.
Maximum nitrous oxide ratio at 70% for patient safety.
Audible and visual alarms to notify of low oxygen.
Oxygen fail-safe and flush for additional safety.
Emergency oxygen resuscitation connector.
Sealed flush surface makes it easy to disinfect or barrier-protect.
Multiple mounting options available.

All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Dimensions (W x H x D)Flushmount Control Module: 9 1/4"" x 4"" x 1 1/2""Remote Main Module: 8"" x 4"" x 7 1/2""Mounted Dimensions (W x H x D): 9 1/2"" x 4 1/4"" x 1/4""Weight Flushmount Control Module: 1.3 lbs (0.6 kg)Weight Remote Main Module: 6.1 lbs (2.8 kg)Mixed Gas Outlet Diameter: 7/8"" Nominal (22 mm)Oxygen Inlet: Male DISS (CGA 1240)Nitrous Oxide Inlet: Male DISS (CGA 1040)Nitrous Oxide Mixed Ratio Range: 0-70%Oxygen Flow Range: 1.0-9.9 LPMNitrous Oxide Flow Range: 0-6.9 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect(1/4"" Imperial) at Remote OutletResuscitator Connector Flow: 100 LPM OxygenPower Requirements: 100-240 Volt AC; 50-60 Hz",,,digital-ultratm-flowmeters,,https://www.hufriedygroup.com/digital-ultratm-flowmeters/accutrontm-digital-ultratm-flushmount-package-h-chair-remote-flow-system,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/HuFriedyGroup-56800-CHAIR-digital-ultra-flushmount-package-h-chair-2106.jpg?itok=p8nmJucb
Accutron,FX51E,Accutron,FX51E,"#51 European Style Forceps, Serrated, Matte finish","Description
Extraction forceps are ideal for extracting teeth from the alveolar bone. All hinged instruments should be cleaned and sterilized in an open position.",,,axesstm-scavenging-circuits,,https://www.hufriedygroup.com/axesstm-scavenging-circuits/51-european-style-forceps-serrated-matte-finish,/documents/34082,https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/default_images/GC-WebImages-NewWebsite-ErrorImage-2004_0.jpg?itok=WBGan6SI
Accutron,38008,Accutron,38008,Full Facemask — Adult,"Description
Surgery System Accessories",,,digital-ultratm-oral-surgery,,https://www.hufriedygroup.com/digital-ultratm-oral-surgery/full-facemask-adult,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,/documents/34082",https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/HuFriedyGroup-38008-full-facemask-adult-1000x1000-2106.jpg?itok=Xnps1g6i
Accutron,33011,Accutron,33011,Accutron™ PIP+™ Scavenging Circuits with Multi-Use Masks,"Description
SterilizableX-Ray CompatibleMeets NIOSH and ADA flow rate recommendationsFlexible system accommodates most brands of flowmetersNot made with natural rubber latex",,,piptm-scavenging-circuits,,https://www.hufriedygroup.com/piptm-scavenging-circuits/accutrontm-piptm-scavenging-circuits-multi-use-masks,"https://www.hufriedygroup.com/sites/default/files/2021-07/28903%20PIP%20Scavenging%20Circuit%20IFU%20Rev%20C.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/publication_1.pdf,/documents/34082",https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/HuFriedyGroup-33011-pip%2B-scavenging-circuits-with-large-multi-use-mask-2106.jpg?itok=xTx53C_h
Accutron,32007,Accutron,32007,Accutron™ PIP+™  Scavenging Circuit II for Standard Bag Tee,"Description
X-ray compatible and sterilizable, Accutron™ PIP+™ Scavenging Circuit consists of a vacuum control assembly, a continuum of tubing and a complementary sampling of PIP+™ Single-Use Nasal Masks. Vacuum controllers allows for vacuum control at NIOSH and ADA's recommended rate of 45 liters per minute. Flexible system accommodates most brands of flowmeters; bright white finish complements clinical environments.
Accommodates most flowmeter brandsReprocessing: The ADA recommends using sterilizable scavenging circuits. Keep extra tubing components on hand in order to sterilize after every patient.",,,piptm-scavenging-circuits,,https://www.hufriedygroup.com/piptm-scavenging-circuits/accutrontm-piptm-scavenging-circuit-ii-standard-bag-tee,"https://www.hufriedygroup.com/sites/default/files/2021-07/28903%20PIP%20Scavenging%20Circuit%20IFU%20Rev%20C.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/publication_1.pdf,/documents/34082",https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/HuFriedyGroup-32007-pip-scavenging-circuit-ii-for-standard-bag-tee-2000x2000-2106.jpg?itok=A2FtXfzB
Accutron,23148,Accutron,23148,100 ft. Cat 5 Black Cable and Connector,,,,manifold-accessories-components,,https://www.hufriedygroup.com/manifold-accessories-components/100-ft-cat-5-black-cable-and-connector,/documents/34082,https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/HuFriedyGroup-23148-100FtCat5BlackCableAndConnector.jpg?itok=IYdpepCi
Accutron,56400,Accutron,56400,Accutron™ Accutron™ Digital Ultra™ Package E—16-inch Bi-fold Arm,"Description
            The Digital Ultra™ is the right choice for clinicians who prefer to work in a digital environment but want critical parameters displayed both numerically and as electronic flow tubes. The ease of color-coded, fingertip controls is an additional feature of the flowmeter. Its sealed flush surface makes it easy to disinfect or barrier-protect. The unit's design complements aseptic, contemporary operatory environments.

Automatic compensation to easily adjust total flow or gas ratiowhile the other stays constant.
Both digital and electronic flowtube displays for ease of use.
Maximum nitrous oxide ratio at 70% for patient safety.
Audible and visual alarms to notify of low oxygen.
Oxygen fail-safe and flush for additional safety.
Emergency oxygen resuscitation connector.
Sealed flush surface makes it easy to disinfect or barrier protect.

(Note: Quick connect hoses sold separately)
All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Dimensions (W x H x D): 7 1/2"" x 7"" x 8 3/4""Weight: 6.3 lbsMixed Gas Outlet Diameter: 7/8"" Nominal (22 mm)Oxygen Inlet: Male DISS (CGA-1240)Nitrous Oxide Inlet: Male DISS (CGA-1040)Nitrous Oxide Mixed Ratio Range: 0-70%Oxygen Flow Range: 1.0-9.9 LPMNitrous Oxide Flow Range: 0-6.9 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect (1/4"" Imperial)Resuscitator Connector Flow: 100 LPM OxygenPower Requirements: 100-240 Volt AC; 50-60 HzIncludes: Digital Ultra™ Flowmeter, 16-inch Bi-fold Wall Arm, Scavenging Circuit II.",,,digital-ultratm-flowmeters,,https://www.hufriedygroup.com/digital-ultratm-flowmeters/accutrontm-accutrontm-digital-ultratm-package-d-9-inch-wall-arm?v=239302,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-56400-digital-ultra-flowmeter-package-e-2106.jpg?itok=-Q3LXfOx
Accutron,56500,Accutron,56500,Accutron™ Accutron™ Digital Ultra™ Package F—Telescoping Wall Arm,"Description
            The Digital Ultra™ is the right choice for clinicians who prefer to work in a digital environment but want critical parameters displayed both numerically and as electronic flow tubes. The ease of color-coded, fingertip controls is an additional feature of the flowmeter. Its sealed flush surface makes it easy to disinfect or barrier-protect. The unit's design complements aseptic, contemporary operatory environments.

Automatic compensation to easily adjust total flow or gas ratiowhile the other stays constant.
Both digital and electronic flowtube displays for ease of use.
Maximum nitrous oxide ratio at 70% for patient safety.
Audible and visual alarms to notify of low oxygen.
Oxygen fail-safe and flush for additional safety.
Emergency oxygen resuscitation connector.
Sealed flush surface makes it easy to disinfect or barrier protect.

(Note: Quick connect hoses sold separately)
All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Dimensions (W x H x D): 7 1/2"" x 7"" x 8 3/4""Weight: 6.3 lbsMixed Gas Outlet Diameter: 7/8"" Nominal (22 mm)Oxygen Inlet: Male DISS (CGA-1240)Nitrous Oxide Inlet: Male DISS (CGA-1040)Nitrous Oxide Mixed Ratio Range: 0-70%Oxygen Flow Range: 1.0-9.9 LPMNitrous Oxide Flow Range: 0-6.9 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect (1/4"" Imperial)Resuscitator Connector Flow: 100 LPM OxygenPower Requirements: 100-240 Volt AC; 50-60 HzIncludes: Digital Ultra™ Flowmeter, Telescoping Wall Arm, Scavenging Circuit II.",,,digital-ultratm-flowmeters,,https://www.hufriedygroup.com/digital-ultratm-flowmeters/accutrontm-accutrontm-digital-ultratm-package-d-9-inch-wall-arm?v=239303,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-56500-digital-ultra-package-f-telescoping-wall-arm-500x500-2105.jpg?itok=G8j02nqm
Accutron,49051,Accutron,49051,Pre-Install Kit for Accutron™ Digi-Flo™ Automatic Manifold Pkg. A & C,"Description
For installation of 49150-NP and 49350-NP",,,digi-flotm-automatic-switching-manifolds,,https://www.hufriedygroup.com/digi-flotm-automatic-switching-manifolds/pre-install-kit-accutrontm-digi-flotm-automatic-manifold,"https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",https://www.hufriedygroup.com//sites/default/files/styles/500x500/public/HuFriedyGroup-49051-pre-install-kit-for-digi-flo-automatic-manifold-pkg-a-c-500x500-2105.jpg?itok=Ov2Em0rR
