Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategories,Product Page URL,Attachement,Image URL
Accutron,56800-CHAIR,Accutron,56800-CHAIR,Accutron™ Digital Ultra™ Flushmount Package H CHAIR — Remote Flow System for RFS Chairmount Kits (sold separately),"Description
            The Digital Ultra™ Flushmount is the right choice for clinicians who prefer to work in a digital environment but want critical parameters displayed both numerically and as electronic flow tubes. The ease of color-coded, fingertip controls is an additional feature of the flowmeter. Its sealed flush surface makes it easy to disinfect or barrier-protect. The unit's design complements aseptic, contemporary operatory environments.

Automatic compensation to easily adjust total flow or gas ratiowhile the other stays constant.
Both digital and electronic flowtube displays for ease of use.
Maximum nitrous oxide ratio at 70% for patient safety.
Audible and visual alarms to notify of low oxygen.
Oxygen fail-safe and flush for additional safety.
Emergency oxygen resuscitation connector.
Sealed flush surface makes it easy to disinfect or barrier-protect.
Multiple mounting options available.

All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Dimensions (W x H x D)Flushmount Control Module: 9 1/4"" x 4"" x 1 1/2""Remote Main Module: 8"" x 4"" x 7 1/2""Mounted Dimensions (W x H x D): 9 1/2"" x 4 1/4"" x 1/4""Weight Flushmount Control Module: 1.3 lbs (0.6 kg)Weight Remote Main Module: 6.1 lbs (2.8 kg)Mixed Gas Outlet Diameter: 7/8"" Nominal (22 mm)Oxygen Inlet: Male DISS (CGA 1240)Nitrous Oxide Inlet: Male DISS (CGA 1040)Nitrous Oxide Mixed Ratio Range: 0-70%Oxygen Flow Range: 1.0-9.9 LPMNitrous Oxide Flow Range: 0-6.9 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect(1/4"" Imperial) at Remote OutletResuscitator Connector Flow: 100 LPM OxygenPower Requirements: 100-240 Volt AC; 50-60 HzIncludes: Digital Ultra™ Flushmount Flowmeter, Mounting Hardware, Remote Flow System A, Oxygen Outlet, O2 and N2O Check Valve Risers, 25' of Vacuum Hose, 25' Mixed Gas Hose, One 6' N2O Hose, Two 6' O2 Hoses, and Scavenging Circuit II (for RFS-A).",,,digital-ultratm-flowmeters,,https://www.hufriedygroup.com/digital-ultratm-flowmeters/accutrontm-digital-ultratm-flushmount-package-h-chair-remote-flow-system,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-56800-CHAIR-digital-ultra-flushmount-package-h-chair-2106.jpg?itok=p8nmJucb
Accutron,38008,Accutron,38008,Full Facemask — Adult,"Description
            Surgery System AccessoriesReplacement part for Demand Valve, Manual Resuscitator, and Oral Surgery System.",,,digital-ultratm-oral-surgery,,https://www.hufriedygroup.com/digital-ultratm-oral-surgery/full-facemask-adult,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-38008-full-facemask-adult-1000x1000-2106.jpg?itok=Xnps1g6i
Accutron,33030-10,Accutron,33030-10,Adult Cannula with 7 ft. Tubing (pkg. of 10),"Description
            Surgery System AccessoriesCurved tips, latex-free, 10 per pkg",,,digital-ultratm-oral-surgery,,https://www.hufriedygroup.com/digital-ultratm-oral-surgery/adult-cannula-7-ft-tubing-pkg-10,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-NasalMask-InfoSheet-2206-web-1.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-33030-10-adult-cannula-with-7-ft-tubing-pkg-of-10-adult-cannula-with-7-ft-tubing-pkg-of-10-2104.jpg?itok=cp1wLj5G
Accutron,36100,Accutron,36100,Accutron™ Ultra PC™ % Package B – 4-Cylinder Portable,"Description
            The Ultra PC™ % Cabinet Mount Flowmeter offers a solution to the increasingly complex issue of operatory space planning. The low-profile unit complements modern operatory design and can be built into a variety of office cabinetry configurations.

Single-knob total flow control.
Nitrous oxide ratio control with 70% maximum.
Oxygen fail-safe and oxygen flush.
Oxygen resuscitation connector.
Emergency air valve.
Directional check valve.
Continuous oxygen and nitrous oxide flow tubes.

(Note: Requires separate purchase of appropriate RFS Chairmount Kit (see product line RFS Chairmount Kits))
All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Product SpecificationsDimensions (W x H x D): 4 1/4"" x 10 1/2"" x 8""Weight: 4.5 lb (2.0 kg)Mixed Gas Outlet Diameter: 7/8"" nominal (22 mm)Oxygen Inlet: Male DISS (CGA-1240)Nitrous Oxide Inlet: Male DISS (CGA-1040)Nitrous Oxide Mix Ratio Range: 0-70%Oxygen Flow Range: 1-10 LPMNitrous Oxide Flow Range: 0-7 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect (1/4"" Imperial)Resuscitator Connector Flow: 100 LPM OxygenIncludes: Ultra PC™ % Flowmeter, 4-Cylinder Portable System, Scavenging Circuit II.",,,ultra-pctm-flowmeters,,https://www.hufriedygroup.com/ultra-pctm-flowmeters/accutrontm-ultra-pctm-package-b-4-cylinder-portable,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082","/sites/default/files/styles/500x500/public/HuFriedyGroup-36100-OS-ultra-pc-oral-surgery-package-b-4-cylinder-portable-500x500-2105.jpg?itok=79NXdtTY,/sites/default/files/styles/500x500/public/HuFriedyGroup-36100-ultra-pc-percent-flowmeter-package-b-2106.jpg?itok=yKHnBblG"
Accutron,24494,Accutron,24494,Replacement E Washers (pkg of 10),,,,portable-manifolds,,https://www.hufriedygroup.com/portable-manifolds/replacement-e-washers-pkg-10,/documents/34082,/sites/default/files/styles/500x500/public/default_images/GC-WebImages-NewWebsite-ErrorImage-2004_0.jpg?itok=WBGan6SI
Accutron,24549,Accutron,24549,E Yoke Handle,,,,portable-manifolds,,https://www.hufriedygroup.com/portable-manifolds/e-yoke-handle,/documents/34082,/sites/default/files/styles/500x500/public/default_images/GC-WebImages-NewWebsite-ErrorImage-2004_0.jpg?itok=WBGan6SI
Accutron,38007,Accutron,38007,Manual Resuscitator,"Includes: Manual Resuscitator, Bag, Valve, Mask, and Oxygen Tube.",,,oxygen-equipment-components,,https://www.hufriedygroup.com/oxygen-equipment-components/manual-resuscitator,/documents/34082,/sites/default/files/styles/500x500/public/HuFriedyGroup-38007-manual-resuscitator-2105.jpg?itok=atPoyl8L
Accutron,31005-6,Accutron,31005-6,Accutron™ RFS™ Chairmount Kit for A-dec Performer Chair,"Description
            Remote Flow System™ mounts to patient chairs without drilling new holes and can be installed in the field – retrofit where possible or new construction. Kits are available for a wide variety of dental chair brands.
Eliminates long mixed gas and vacuum hoses draping from adjacent cabinetsCreates uncluttered, safer work zone for doctor and staffMinimizes displacement of patient mask caused by drag/pull and weight of long hosesStore circuit and rubber goods when not in useRFS™ Chairmount Kit allows mounting of RFS™ to A-dec Performer chair. Kit is compatible with Digital Ultra™ Flushmount Pkg. H CHAIR (#56800-CHAIR) and Ultra PC™ % Cabinet Mount  Pkg. H CHAIR (#36800-CHAIR).",,,chairmount-kits,,https://www.hufriedygroup.com/chairmount-kits/accutrontm-rfstm-chairmount-kit-dec-performer-chair,/documents/34082,/sites/default/files/styles/500x500/public/HuFriedyGroup-31005-6-rfs-chairmount-kit-for-a-dec-performer-chair-2105.jpg?itok=BUM21X2q
Accutron,47000,Accutron,47000,Oral Surgery Accessory Package,"Description
            Surgery System AccessoriesPackage includes: adult full facemask, elbow with pop-off valve and corrugated tube.",,,digital-ultratm-oral-surgery,,https://www.hufriedygroup.com/digital-ultratm-oral-surgery/oral-surgery-accessory-package,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-47000-oral-surgery-accessory-package-500x500-2105.jpg?itok=BlXLjklw
Accutron,25043,Accutron,25043,Accutron™ Universal Light Pole Mount Kit for Accutron™ RFS™ Remote Flow System,"Description
            Mounts RFS™ Remote Flow System to patient chair light 2"" (for use with RFS-Digital and RFS-Analog).Mounts RFS™ Remote Flow System to patient chair light 2"" (for use with RFS-Digital and RFS-Analog).",,,vacuums,,https://www.hufriedygroup.com/vacuums/accutrontm-universal-light-pole-mount-kit-accutrontm-rfstm-remote-flow-system,/documents/34082,/sites/default/files/styles/500x500/public/HuFriedyGroup-25043-universal-light-pole-mount-kit-2106.jpg?itok=qCD5CFZO
