Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Category,Subcategories,Qty,Packaging,Product Page URL,Attachments,Image URL
Bienair,1600290-001,Bienair,1600290-001,CAP 15:1,"Handpieces with interchangeable heads and contra-angles with detachable cups are the only instruments that can be fitted to motors rotating at 40,000 rpm. Apart from superior comfort and extended service life,Bien-Air prophylaxis instruments in particular offer high resistance to brasive cleaning pastes and can withstand constant and repeated sterilizations.Technical Data
    
        
        
            
                                                                    CAP 15:1
                                    
        
                    TypeContra-angle without light or spray, screw or clip cup interchangeability                    Ratio15:1 (speed reducing factor of 15)                                                                                                                                                                                                                                                                                                                                Cleaning / sterilisationThermal washer / steam autoclave up to 134°C (273°F)                                                            Warranty2 to 3 years 1                                    
            Reference
                                                                    
                        CAP 15:1 1600290-001                                            
                                    
    
    
                                                                    
                    
                    
                        
                            CAP 15:1                        
                    
                    
                                                                    
                            Type
                            
                                Contra-angle without light or spray, screw or clip cup interchangeability                            
                        
                                                                    
                            Ratio
                            
                                15:1 (speed reducing factor of 15)                            
                        
                                                                                                                                                                                                                                                                                                                                                                                                                                            
                            Cleaning / sterilisation
                            
                                Thermal washer / steam autoclave up to 134°C (273°F)                            
                        
                                                                                                                    
                            Warranty
                            
                                2 to 3 years 1                            
                        
                                                                
                        Reference
                        
                            CAP 15:1 1600290-001                                                    
                    
                
                        
            
            1 2-year standard warranty and 1-year optional warranty available through Bien-Air’s PlanCare extended warranty program.",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/prophylaxis/cap-15-1.html,https://dental.bienair.com/media/ideo/download_data/element/file/2/4/2400156_ca-pm_en_2020.pdf,"https://dental.bienair.com/media/resized/58x42/1/6/1600290-001_ba_ca_15-1_prophy_right_new_1_2.png,https://dental.bienair.com/media/resized/58x42/1/6/1600290-001_ba_ca_15-1_prophy_right_new_2_2.png,https://dental.bienair.com/media/resized/58x42/1/6/1600290-001_ba_ca_15-1_prophy_right_new_1_2.png,https://dental.bienair.com/media/resized/58x42/1/6/1600290-001_ba_ca_15-1_prophy_right_new_2_2.png"
Bienair,Evo.15,Bienair,Evo.15,EVO.15 1:5,"Designed for Today’s Challenges.  The all-new contra-angle EVO.15 is one a kind, simultaneously raising performance standards and revolutionizing patient safety. This promising handpiece combines Swiss precision with an unparalleled level of durability and ergonomics. Discover what makes the contra-angle EVO.15 the indispensable dental instrument, day in and day out.


 Ultimate Precision for Durable Performance.  Accurate. High efficiency and cutting-edge technology come together on the contra-angle EVO.15. The new Accu-Chuck PreciPlus™ bur-retention and rotation drive mechanism is a perfect example of that – its vibration-canceling properties not only reduce noise interference, they also authorize perfect stability and accuracy no matter the speed and torque. Due to durability being a key contributor to performance, the contra-angle EVO.15 is fitted with a bespoke rotor’s head that demonstrates significantly longer service life than conventional models. The most advanced engineering techniques, skilled company know-how, and up to 3 years of warranty put in your hands the quality and reliability our competitors have been trying to match for almost 60 years.
 Where Efficient Meets Easy.  Practical. The size of the contra-angle EVO.15 makes you forget that you are handling such a high-performance instrument. Its small, shockproof stainless steel head provides remarkable maneuverability and accessibility to third molars. As part of Bien-Air’s Micro-Series line, the handpiece’s comparatively lighter weight pushes the limits of comfort even further with more balanced manipulation and reduced hand and wrist fatigue. To maximize user experience, every aspect of the contra-angle EVO.15 has been carefully thought-out. The improved Accu-Spray Quattro Mix™ and its dualook™ non-dazzling multi-strand optical glass system support this statement and need to be credited for competent operative field cooling and reliable intraoral visibility.
 The Confidence You Have Your Patients’ Trust.  Safe. The contra-angle EVO.15 expresses itself in multiple ways, and patient safety is unmistakably at the forefront. Bien-Air’s patented CoolTouch+™ heat-arresting technology brings the handpiece closer to zero risk when it comes to patient burn injuries. Similarly, adverse events linked to bur slippage are prevented, thanks to an extremely efficient fastening system. When brought together, these combined safety features make the contra-angle EVO.15 the safest electric handpiece ever designed.
* 2-year standard warranty and 1-year optional warranty available through Bien-Air's PlanCare extended warranty program.

 Learn MoreTechnical Data
    
        
        
            
                                                
        
                                                                                                                                                                                                                                                                                                                                                                                                            
            Reference
                                                
    
    
                                
            
            1 2-year standard warranty and 1-year optional warranty available through Bien-Air’s PlanCare extended warranty program.",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/restorative-advanced-line/evo-15.html,https://dental.bienair.com/en/support/download-center/,"https://dental.bienair.com/media/resized/58x42/3/_/3_1_evo_1_5_standard.png,https://dental.bienair.com/media/resized/58x42/1/6/1600940_ba_ca_evo15_1-5_micro_right1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600941_ba_ca_evo15_1-5_standard_right1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600940_ba_ca_evo15_1-5_micro_back1.png,https://dental.bienair.com/media/resized/58x42/c/o/contre-angle_evo15_rouge_group.png,https://dental.bienair.com/media/resized/58x42/3/_/3_1_evo_1_5_standard.png,https://dental.bienair.com/media/resized/58x42/1/6/1600940_ba_ca_evo15_1-5_micro_right1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600941_ba_ca_evo15_1-5_standard_right1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600940_ba_ca_evo15_1-5_micro_back1.png,https://dental.bienair.com/media/resized/58x42/c/o/contre-angle_evo15_rouge_group.png"
Bienair,1600052-001,Bienair,1600052-001,PM 1:1 ext,"This last-generation handpiece is the result of our ongoing research and development work. PM 1:1 is designed to withstand the stresses resulting from repeated lateral pressure, while maintaining exceptional precision. You will appreciate the absence of vibration, quiet operation and tried and tested bur locking system.Technical Data
    
        
        
            
                                                                    PM 1:1 external irrigation
                                    
        
                    TypeStraight handpiece                    Ratio1:1 (direct)                                                                                                    CouplingE-type as per ISO 3964                                                                                                                                            Locking systemLocking ring                                                            Bur dimensionBur shank Ø 2.35 mm                    Cleaning / sterilisationThermal washer / steam autoclave up to 135°C (275°F)                                        IrrigationInterchangeable sleeves with or without irrigation tube                    Warranty2 to 3  years 1                                    
            Reference
                                                                    
                        PM 1:1 external irrigation 1600052-001                                            
                                    
    
    
                                                                    
                    
                    
                        
                            PM 1:1 external irrigation                        
                    
                    
                                                                    
                            Type
                            
                                Straight handpiece                            
                        
                                                                    
                            Ratio
                            
                                1:1 (direct)                            
                        
                                                                                                                                                                    
                            Coupling
                            
                                E-type as per ISO 3964                            
                        
                                                                                                                                                                                                                    
                            Locking system
                            
                                Locking ring                            
                        
                                                                                                                    
                            Bur dimension
                            
                                Bur shank Ø 2.35 mm                            
                        
                                                                    
                            Cleaning / sterilisation
                            
                                Thermal washer / steam autoclave up to 135°C (275°F)                            
                        
                                                                                            
                            Irrigation
                            
                                Interchangeable sleeves with or without irrigation tube                            
                        
                                                                    
                            Warranty
                            
                                2 to 3  years 1                            
                        
                                                                
                        Reference
                        
                            PM 1:1 external irrigation 1600052-001                                                    
                    
                
                        
            
            1 2-year standard warranty and 1-year optional warranty available through Bien-Air’s PlanCare extended warranty program.",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/oral-surgery-implantology/pm-1-1-ext.html,https://dental.bienair.com/media/ideo/download_data/element/file/2/4/2400156_ca-pm_en_2020.pdf,"https://dental.bienair.com/media/resized/58x42/1/6/1600052-001_ba_pm_1-1_face2.png,https://dental.bienair.com/media/resized/58x42/1/6/1600052-001_ba_pm_1-1_face2.png"
Bienair,1601055-001,Bienair,1601055-001,CA 1:2.5,"The new CA 1:2.5 L Micro-Series is the gold standard contra-angle for surgery and periodontics.
Thanks to its speed increasing ratio, the CA 1:2.5 L Micro-Series can be used for a wide range of clinical applications : wisdom tooth extraction, apicectomy, crown lengthening and hemisection.Technical Data
    
        
        
            
                                                                    CA 1:2.5 L Micro-Series
                                    
        
                                        Transmission ratio1:2.5                    Maximum speed (rpm)100’000                                        Head-                    Head diameter (mm)9.8                    Head size (mm)15.5 (22.9 mm with bur 19 mm)                                                                                                    Weight (g)82                    Noise level (dBa)57                    Spray system2x3 separate air/water sprays                    Lighting systemMulti-strand optical glass technology                                        CouplingISO 3964 & Bien-Air Micro-Series                                        Warranty1  year                 
            Reference
                                                                    
                        CA 1:2.5 L Micro-Series 1601055-001                                            
                                    
    
    
                                                                    
                    
                    
                        
                            CA 1:2.5 L Micro-Series                        
                    
                    
                                                                                            
                            Transmission ratio
                            
                                1:2.5                            
                        
                                                                    
                            Maximum speed (rpm)
                            
                                100’000                            
                        
                                                                                            
                            Head
                            
                                -                            
                        
                                                                    
                            Head diameter (mm)
                            
                                9.8                            
                        
                                                                    
                            Head size (mm)
                            
                                15.5 (22.9 mm with bur 19 mm)                            
                        
                                                                                                                                                                    
                            Weight (g)
                            
                                82                            
                        
                                                                    
                            Noise level (dBa)
                            
                                57                            
                        
                                                                    
                            Spray system
                            
                                2x3 separate air/water sprays                            
                        
                                                                    
                            Lighting system
                            
                                Multi-strand optical glass technology                            
                        
                                                                                            
                            Coupling
                            
                                ISO 3964 & Bien-Air Micro-Series                            
                        
                                                                                            
                            Warranty
                            
                                1  year                             
                        
                                        
                        Reference
                        
                            CA 1:2.5 L Micro-Series 1601055-001",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/oral-surgery-implantology/ca-1-2-5.html,https://dental.bienair.com/media/ideo/download_data/element/file/2/7/2700188_flyers_ca_1.2.5_210x297_an_low.pdf,"https://dental.bienair.com/media/resized/58x42/c/a/ca-1_2.5_adventage_en-us_1.png,https://dental.bienair.com/media/resized/58x42/c/a/ca_1.2.5_1601055-001_back-right.jpg,https://dental.bienair.com/media/resized/58x42/c/a/ca_1.2.5_1601055-001_irrigation.jpg,https://dental.bienair.com/media/resized/58x42/c/a/ca-1_2.5_adventage_en-us_1.png,https://dental.bienair.com/media/resized/58x42/c/a/ca_1.2.5_1601055-001_back-right.jpg,https://dental.bienair.com/media/resized/58x42/c/a/ca_1.2.5_1601055-001_irrigation.jpg"
Bienair,1600384-001,Bienair,1600384-001,CA 1:1,"There are some devices still earning respect and admiration forty years in, and Bien-Air’s classic CA 1:1 and CA 1:5 electric handpieces are two of them. Forever evolving, their dominating productivity and remarkable durability make them the most popular models in the lineup. The series’ fully redesigned bur-locking and rotation drive mechanism ensures micron-precise concentricity and stability, while a 60 to 200,000 rpm speed range lets you complete the most intricate restorative work with incredible accuracy – and on your own terms. CA 1:1 and CA 1:5 epitomize the reliability and quality Bien-Air has built its reputation on.Technical Data
    
        
        
            
                                                                    CA 1:1 L Standard
                                                        CA 1:1 L Micro-Series
                                                        CA 1:1 Standard
                                    
        
                                        Transmission ratio1:11:11:1                    Maximum speed (rpm)40’00040’00040’000                                        Head---                    Head diameter (mm)9.89.89.8                    Head size (mm)15.315.315.3                                                                                                    Weight (g)867988                    Noise level (dBa)575757                    Spray system2x3 separate air/water sprays 2x3 separate air/water sprays 2x3 separate air/water sprays                     Lighting systemMulti-strand optical glass technology Multi-strand optical glass technology-                    Anti-heating system---                                        Coupling systemISO 3964 & Bien-Air Micro-SeriesISO 3964 & Bien-Air Micro-SeriesISO 3964 & Bien-Air Micro-Series                    Warranty2 to 3  years12 to 3  years12 to 3  years1                
            Reference
                                                                    
                        CA 1:1 L Standard 1600384-001                                            
                                                        
                        CA 1:1 L Micro-Series 1600691-001                                            
                                                        
                        CA 1:1 Standard 1600424-001                                            
                                    
    
    
                                                                    
                    
                    
                        
                            CA 1:1 L Standard                        
                    
                    
                                                                                            
                            Transmission ratio
                            
                                1:1                            
                        
                                                                    
                            Maximum speed (rpm)
                            
                                40’000                            
                        
                                                                                            
                            Head
                            
                                -                            
                        
                                                                    
                            Head diameter (mm)
                            
                                9.8                            
                        
                                                                    
                            Head size (mm)
                            
                                15.3                            
                        
                                                                                                                                                                    
                            Weight (g)
                            
                                86                            
                        
                                                                    
                            Noise level (dBa)
                            
                                57                            
                        
                                                                    
                            Spray system
                            
                                2x3 separate air/water sprays                             
                        
                                                                    
                            Lighting system
                            
                                Multi-strand optical glass technology                             
                        
                                                                    
                            Anti-heating system
                            
                                -                            
                        
                                                                                            
                            Coupling system
                            
                                ISO 3964 & Bien-Air Micro-Series                            
                        
                                                                    
                            Warranty
                            
                                2 to 3  years1                            
                        
                                        
                        Reference
                        
                            CA 1:1 L Standard 1600384-001                                                    
                    
                
                                                            
                    
                    
                        
                            CA 1:1 L Micro-Series                        
                    
                    
                                                                                            
                            Transmission ratio
                            
                                1:1                            
                        
                                                                    
                            Maximum speed (rpm)
                            
                                40’000                            
                        
                                                                                            
                            Head
                            
                                -                            
                        
                                                                    
                            Head diameter (mm)
                            
                                9.8                            
                        
                                                                    
                            Head size (mm)
                            
                                15.3                            
                        
                                                                                                                                                                    
                            Weight (g)
                            
                                79                            
                        
                                                                    
                            Noise level (dBa)
                            
                                57                            
                        
                                                                    
                            Spray system
                            
                                2x3 separate air/water sprays                             
                        
                                                                    
                            Lighting system
                            
                                Multi-strand optical glass technology                            
                        
                                                                    
                            Anti-heating system
                            
                                -                            
                        
                                                                                            
                            Coupling system
                            
                                ISO 3964 & Bien-Air Micro-Series                            
                        
                                                                    
                            Warranty
                            
                                2 to 3  years1                            
                        
                                        
                        Reference
                        
                            CA 1:1 L Micro-Series 1600691-001                                                    
                    
                
                                                            
                    
                    
                        
                            CA 1:1 Standard                        
                    
                    
                                                                                            
                            Transmission ratio
                            
                                1:1                            
                        
                                                                    
                            Maximum speed (rpm)
                            
                                40’000                            
                        
                                                                                            
                            Head
                            
                                -                            
                        
                                                                    
                            Head diameter (mm)
                            
                                9.8                            
                        
                                                                    
                            Head size (mm)
                            
                                15.3                            
                        
                                                                                                                                                                    
                            Weight (g)
                            
                                88                            
                        
                                                                    
                            Noise level (dBa)
                            
                                57                            
                        
                                                                    
                            Spray system
                            
                                2x3 separate air/water sprays                             
                        
                                                                    
                            Lighting system
                            
                                -                            
                        
                                                                    
                            Anti-heating system
                            
                                -                            
                        
                                                                                            
                            Coupling system
                            
                                ISO 3964 & Bien-Air Micro-Series                            
                        
                                                                    
                            Warranty
                            
                                2 to 3  years1                            
                        
                                        
                        Reference
                        
                            CA 1:1 Standard 1600424-001                                                    
                    
                
                        
            
            1 2-year standard warranty and 1-year optional warranty available through Bien-Air’s PlanCare extended warranty program.",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/restorative-classic-line/ca-1-1.html,https://dental.bienair.com/media/ideo/download_data/element/file/2/4/2400156_ca-pm_en_2020_1.pdf,"https://dental.bienair.com/media/resized/58x42/3/_/3_1_ca_1_1_standard.png,https://dental.bienair.com/media/resized/58x42/1/6/1600424-001_ba_ca_1-1_right1_1_1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600691-001_ba_ca_1-1_l_micro_left1_1.png,https://dental.bienair.com/media/resized/58x42/3/_/3_1_ca_1_1_standard.png,https://dental.bienair.com/media/resized/58x42/1/6/1600424-001_ba_ca_1-1_right1_1_1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600691-001_ba_ca_1-1_l_micro_left1_1.png"
Bienair,1600289-001,Bienair,1600289-001,PMP 10:1 PROPHY,"Handpieces with interchangeable heads and contra-angles with detachable cups are the only instruments that can be fitted to motors rotating at 40,000 rpm. Apart from superior comfort and extended service life,Bien-Air prophylaxis instruments in particular offer high resistance to brasive cleaning pastes and can withstand constant and repeated sterilizations.Technical Data
    
        
        
            
                                                                    PMP 10:1 PROPHY
                                    
        
                    TypeStraight handpiece for standard disposable heads.                    Ratio10:1 (speed reducing factor of 10)                                                                                                                                                                                                                                                                                                                                Cleaning / sterilisationThermal washer / steam autoclave up to 134°C (273°F)                                                            Warranty2 to 3 years 1                                    
            Reference
                                                                    
                        PMP 10:1 PROPHY 1600289-001                                            
                                    
    
    
                                                                    
                    
                    
                        
                            PMP 10:1 PROPHY                        
                    
                    
                                                                    
                            Type
                            
                                Straight handpiece for standard disposable heads.                            
                        
                                                                    
                            Ratio
                            
                                10:1 (speed reducing factor of 10)                            
                        
                                                                                                                                                                                                                                                                                                                                                                                                                                            
                            Cleaning / sterilisation
                            
                                Thermal washer / steam autoclave up to 134°C (273°F)                            
                        
                                                                                                                    
                            Warranty
                            
                                2 to 3 years 1                            
                        
                                                                
                        Reference
                        
                            PMP 10:1 PROPHY 1600289-001                                                    
                    
                
                        
            
            1 2-year standard warranty and 1-year optional warranty available through Bien-Air’s PlanCare extended warranty program.",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/prophylaxis/pmp-10-1-prophy.html,https://dental.bienair.com/media/ideo/download_data/element/file/2/4/2400156_ca-pm_en_2020.pdf,"https://dental.bienair.com/media/resized/58x42/1/6/1600289-001_pmp_10-1_prophy2_1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600289-001_pmp_10-1_prophy2_1.png"
Bienair,1600955-001,Bienair,1600955-001,CA ENDO,"Coupled to the iOptimaINT and the MX2 motor, the new Bien-Air Dental CA ENDO contra-angle has been specially designed for root canal treatment in continuous as well as reciprocating mode. It is therefore fully compatible with standard endodontic files as well as with WaveOne Gold files by Dentsply Sirona Inc. and RECIPROC files by VDW®. In addition, its small head ensures optimal handling and improved visibility of the surgical field. Micro head for easier access and maximum visibility in mouth 

Micro head for easier access and maximum visibility in mouth Head Size Ø8.6×H9.3mm
Easy insertion of the file without pushing the button
Compatible with standard and reciprocating endodontic filesTechnical Data
    
        
        
            
                                                                    CA ENDO
                                    
        
                                        Transmission ratio4:1                    Maximum speed (rpm)9’000                                                            Head diameter (mm)8.5                    Head size (mm)9.4                                                                                                    Weight (g)46                                                                                                                        Coupling systemISO 3694 and Bien-Air Micro-Series                    Warranty1 to 2 years 1                
            Reference
                                                                    
                        CA ENDO 1600955-001                                            
                                    
    
    
                                                                    
                    
                    
                        
                            CA ENDO                        
                    
                    
                                                                                            
                            Transmission ratio
                            
                                4:1                            
                        
                                                                    
                            Maximum speed (rpm)
                            
                                9’000                            
                        
                                                                                                                    
                            Head diameter (mm)
                            
                                8.5                            
                        
                                                                    
                            Head size (mm)
                            
                                9.4                            
                        
                                                                                                                                                                    
                            Weight (g)
                            
                                46                            
                        
                                                                                                                                                                                            
                            Coupling system
                            
                                ISO 3694 and Bien-Air Micro-Series                            
                        
                                                                    
                            Warranty
                            
                                1 to 2 years 1                            
                        
                                        
                        Reference
                        
                            CA ENDO 1600955-001                                                    
                    
                
                        
            
            1 1-year standard warranty and 1-year optional warranty available through Bien-Air’s PlanCare extended warranty program.",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/endodontics/ca-endo-4-1.html,https://dental.bienair.com/media/ideo/download_data/element/file/2/4/2400156_ca-pm_en_2020.pdf,"https://dental.bienair.com/media/resized/58x42/c/a/ca_endo_profil_3-4_right_1.png,https://dental.bienair.com/media/resized/58x42/c/a/ca_endo_profil_3-4_right_1.png"
Bienair,1600693-001,Bienair,1600693-001,PM 1:1,"This last-generation handpiece is the result of our ongoing research and development work. PM 1:1 is designed to withstand the stresses resulting from repeated lateral pressure, while maintaining exceptional precision. You will appreciate the absence of vibration, quiet operation and tried and tested bur locking system.Technical Data
    
        
        
            
                                                                    PM 1:1 Micro-Series
                                                        PM 1:1 Standard
                                    
        
                    TypeStraight handpiece with internal sprayStraight handpiece                    Ratio1:1 (direct)1:1 (direct)                                                                                                    CouplingCompatible with Micro-SeriesE-type as per ISO 3964                                                                                                                                            Locking systemLocking ringLocking ring                                                            Bur dimensionBur shank Ø 2.35 mmBur shank Ø 2.35 mm                    Cleaning / sterilisationThermal washer/steam autoclave up to 135°C (275°F)Thermal washer/steam autoclave up to 135°C (275°F)                                        Irrigation-Internal                    Warranty2 to 3  years 12 to 3  years 1                                    
            Reference
                                                                    
                        PM 1:1 Micro-Series 1600693-001                                            
                                                        
                        PM 1:1 Standard 1600383-001                                            
                                    
    
    
                                                                    
                    
                    
                        
                            PM 1:1 Micro-Series                        
                    
                    
                                                                    
                            Type
                            
                                Straight handpiece with internal spray                            
                        
                                                                    
                            Ratio
                            
                                1:1 (direct)                            
                        
                                                                                                                                                                    
                            Coupling
                            
                                Compatible with Micro-Series                            
                        
                                                                                                                                                                                                                    
                            Locking system
                            
                                Locking ring                            
                        
                                                                                                                    
                            Bur dimension
                            
                                Bur shank Ø 2.35 mm                            
                        
                                                                    
                            Cleaning / sterilisation
                            
                                Thermal washer/steam autoclave up to 135°C (275°F)                            
                        
                                                                                                                    
                            Warranty
                            
                                2 to 3  years 1                            
                        
                                                                
                        Reference
                        
                            PM 1:1 Micro-Series 1600693-001                                                    
                    
                
                                                            
                    
                    
                        
                            PM 1:1 Standard                        
                    
                    
                                                                    
                            Type
                            
                                Straight handpiece                            
                        
                                                                    
                            Ratio
                            
                                1:1 (direct)                            
                        
                                                                                                                                                                    
                            Coupling
                            
                                E-type as per ISO 3964                            
                        
                                                                                                                                                                                                                    
                            Locking system
                            
                                Locking ring                            
                        
                                                                                                                    
                            Bur dimension
                            
                                Bur shank Ø 2.35 mm                            
                        
                                                                    
                            Cleaning / sterilisation
                            
                                Thermal washer/steam autoclave up to 135°C (275°F)                            
                        
                                                                                            
                            Irrigation
                            
                                Internal                            
                        
                                                                    
                            Warranty
                            
                                2 to 3  years 1                            
                        
                                                                
                        Reference
                        
                            PM 1:1 Standard 1600383-001                                                    
                    
                
                        
            
            1 2-year standard warranty and 1-year optional warranty available through Bien-Air’s PlanCare extended warranty program.",contra-angles-straight-handpieces,,,,https://dental.bienair.com/en/products/contra-angles-straight-handpieces/restorative-classic-line/pm-1-1.html,https://dental.bienair.com/media/ideo/download_data/element/file/2/4/2400156_ca-pm_en_2020.pdf,"https://dental.bienair.com/media/resized/58x42/g/r/group_ba_ca_pm_1-1_1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600383-001_ba_pm_1-1_face1_1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600693-001_ba_pm_1-1_micro_face1_1.png,https://dental.bienair.com/media/resized/58x42/g/r/group_ba_ca_pm_1-1_1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600383-001_ba_pm_1-1_face1_1.png,https://dental.bienair.com/media/resized/58x42/1/6/1600693-001_ba_pm_1-1_micro_face1_1.png"
