Seller Platform,Seller SKu,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategories,Product Page URL,Attachment,Image URL
BoiHorizon,C1085.3811,BoiHorizon,,"CONELOG® PROGRESSIVE-LINE Implant, Promote® plus, screw-mounted, Ø 3.8 mm, L 11 mm",Length11mmCAMLOG Diameter3.8mm (Yellow)Implant SystemConelogSurfacePromote PlusMount OptionScrew-mounted,,,CAMLOG,Guided Surgery,https://usstore.biohorizons.com/conelog-progressive-line-implant-promote-plus-screw-mounted-incl-insertion-p-13,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=C1085.3811
BoiHorizon,PXMUTC,BoiHorizon,00847236006686,"Titanium Coping, Multi-unit",Use for fabricating acrylic temporary and final prostheses. May be trimmed for height. Packaged with prosthetic screw (PXMUPSR). Titanium alloy.,,,CAMLOG,CONELOG,https://usstore.biohorizons.com/titanium-coping-multi-unit,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=PXMUTC
BoiHorizon,CGS4000,BoiHorizon,00847236009328,Guided Surgery Kit,"precise. predictable. efficient.The BioHorizons guided surgery kit offers the precision and predictability of guided implant placement with a streamlined, single kit design. All components are color-coded to avoid the complexity seen with other systems while offering our customers predictable implant placement for optimal esthetic outcomes. For a list of compatible guide manufacturers and treatment planning software visit guide.biohorizons.com.  5.8mm instruments sold separately.",,,Instruments,Guided Surgery,https://usstore.biohorizons.com/guided-surgery-kit-3,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=CGS4000
BoiHorizon,PXMUAR,BoiHorizon,00847236006525,"Abutment Replica, Multi-unit",Use at lab to represent the Multi-unit/Implant assembly in the working cast. Not for use with implant-level impressions. Titanium alloy.,,,Prosthetics,Multi-unit Abutments,https://usstore.biohorizons.com/abutment-replica-multi-unit,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=PXMUAR
BoiHorizon,PYRHA3,BoiHorizon,00847236006129,"Internal 3.5 Regular Healing Abutment, 3mm Height","Used for tissue healing at second-stage uncovery or as a transmucosal element for single-stage procedures. Flares approximately 1mm wider in diameter than the platform of the implant. Hand-tighten with the .050"" (1.25mm) Hex Driver.Collar Height3mmSurfaceStandardEmergenceRegularPlatform Diameter3.5mm (Yellow)",,,Prosthetics,Healing Abutments,https://usstore.biohorizons.com/internal-35-regular-emergence-healing-abutment-3mm-height,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=PYRHA3
BoiHorizon,BTA4212,BoiHorizon,00847236012403,"4.2mm x 12mm Tapered Pro Implant, Laser-Lok, RBT","BioHorizons new Tapered Pro implants feature aggressive, self-tapping buttress threads that provide progressive insertion torque and compressive loading for primary stability. The platform-switched Laser-Lok collar creates a connective tissue attachment and retains crestal bone. Tapered Pro implants use the existing BioHorizons conical internal hex connections, maintaining compatibility with existing components and can be placed using existing BioHorizons Tapered surgical kits.Platform Diameter3.5mm (Yellow)Implant StyleTaperedImplant StylePlatform SwitchMount OptionMountlessImplant StyleBone LevelSurfaceLaser-Lok/RBTLength12mmBody Diameter4.2mm",,,Implants,Tapered Pro,https://usstore.biohorizons.com/42mm-x-12mm-tapered-implant-mountless-laser-lok-rbt,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=BTA4212
BoiHorizon,PGIA,BoiHorizon,00847236005160,Internal 4.5 Implant Analog,Use in the lab to represent the implant in the working cast. Not intended for use with Simple Solutions components or tissue-level implants. Titanium Alloy.Platform Diameter4.5mm (Green),,,Prosthetics,Impression Components,https://usstore.biohorizons.com/internal-45-implant-analog,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=PGIA
BoiHorizon,MIN-C2.5,BoiHorizon,,"Cortical & Cancellous Chips, 2.5cc",MinerOss Blend forms an osteoconductive scaffold for volume enhancement and effective site development to place dental implants. Featuring mineralized cancellous chips with maximum surface area and early osteoconductive properties and mineralized cortical chips for space maintenance and long-term stability. Particluate size of 300-1000 micronsOriginAllograftSize2.5ccContainerJar/VialHard tissueCortical & Cancellous,,,Biologics,MinerOss Family,https://usstore.biohorizons.com/mineross-cortical-cancellous-chips-25cc-05-10mm-particle-size,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=MIN-C2.5
BoiHorizon,PXMUDPC,BoiHorizon,00847236013691,Multi-unit Direct Pick-up Coping,,,,Prosthetics,Multi-unit Abutments,https://usstore.biohorizons.com/multi-unit-direct-pick-up-coping-2,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=PXMUDPC
BoiHorizon,MDL2513SZ,BoiHorizon,00847236014025,MDL ø2.5mm Implant 13mm Single,Body Diameter2.5mmLength13mm,,,Intra-Lock,MDL,https://usstore.biohorizons.com/mdl-%C3%B825mm-implant-13mm-single,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=MDL2513SZ
BoiHorizon,MDL2513Z,BoiHorizon,00847236014032,MDL ø2.5mm Implant 13mm,Body Diameter2.5mmLength13mm,,,Intra-Lock,MDL,https://usstore.biohorizons.com/mdl-%C3%B825mm-implant-13mm-2,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=MDL2513Z
BoiHorizon,MDLAZ,BoiHorizon,00847236017187,MDL Laboratory Analog,,,,Intra-Lock,MDL,https://usstore.biohorizons.com/mdl-laboratory-analog-3,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=MDLAZ
BoiHorizon,MDLSPDZ,BoiHorizon,00847236014728,"MDL Single Patient Drill, ø1.2mm",,,,Intra-Lock,MDL,https://usstore.biohorizons.com/mdl-single-patient-drill-%C3%B8-12mm-12-x-11mm,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=MDLSPDZ
BoiHorizon,TYGIDH,BoiHorizon,00847236011093,"HD Implant-level Driver, Handpiece, 3.5/4.5mm","Engages implant’s internal hex allowing its position to be adjusted in the osteotomy; used with BioHorizons Internal Tapered, Internal and Single-stage implants. The dimple found on Implant-level Drivers is indexed to one of the internal hex flats and can be used to help achieve the desired hex orientation; compatible with latch-type handpiece.InstrumentImplant DriverImplant StyleTaperedImplant StyleInternalImplant StyleSingle StageDriver TypeHandpiece",,,Instruments,Implant Instruments,https://usstore.biohorizons.com/hd-implant-level-driver-handpiece-3545mm,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=TYGIDH
BoiHorizon,BTA4210,BoiHorizon,00847236012397,"4.2mm x 10.5mm Tapered Pro Implant, Laser-Lok, RBT","BioHorizons new Tapered Pro implants feature aggressive, self-tapping buttress threads that provide progressive insertion torque and compressive loading for primary stability. The platform-switched Laser-Lok collar creates a connective tissue attachment and retains crestal bone. Tapered Pro implants use the existing BioHorizons conical internal hex connections, maintaining compatibility with existing components and can be placed using existing BioHorizons Tapered surgical kits.Platform Diameter3.5mm (Yellow)Implant StyleTaperedImplant StylePlatform SwitchMount OptionMountlessImplant StyleBone LevelSurfaceLaser-Lok/RBTLength10.5mmBody Diameter4.2mm",,,Implants,Tapered Pro,https://usstore.biohorizons.com/42mm-x-105mm-tapered-implant-mountless-laser-lok-rbt,,https://vsr.biohorizons.com/GetProductImage?path=Medium&sku=BTA4210
