Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategory,Product Page URL,Attachment,Image URL
DenMat,OPCMLT6,DenMat,OPCMLT6,Medicated Lip Treatment - 6 Piece,"Developed by a dentist for his patients, this clear, lightweight gel fights germs to keep lips healthy when used on a daily basis and helps speed the healing of cold sores during outbreaks.
According to the National Institutes of Health (NIH), up to 80% of adults have the virus that causes cold sores, which can be triggered by a number of conditions such as stress, sun exposure, or trauma (including during dental procedures). Cold sores are often made worse by opportunistic germs that infect them and contribute to blistering and pain. Our powerful antibacterial formula fights these germs, to relieve symptoms and promote healing.
Benefits:

Reduces unwanted bacteria to maintain health of lips
Protects lips from germs that can worsen cold sores
Clear, lightweight gel
Leaves no visible residue; won’t interfere with lipstick or other cosmetics
No strong or medicinal smell
Inconspicuous packaging; easy to use discreetly throughout the day",,,,,https://www.denmat.com/medicated-lip-treatment-6-piece.html,,"https://www.denmat.com/media/catalog/product/m/e/med-lip-treat-product-image-1400x1400_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,SPD1325,DenMat,SPD1325,Perfectemp Gold Mixing Tips 25/pack,"Disposable gold mixing tips for use with PerfecTemp II.
25/pk",pack,25,,,https://www.denmat.com/perfectemp-gold-mixing-tips-25-pack.html,,"https://www.denmat.com/media/catalog/product/t/i/tip-spd1325_300.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,LR1001W,DenMat,LR1001W,SOL® Desktop Laser,"SOL® Desktop dental laser delivers true portability, power and precision. It features enhanced ergonomics, a simple interface, and a high-contrast aiming beam designed to make laser dentistry easier than ever. The cost effective diode laser designed for the entire team to deliver outstanding performance at an unbeatable value.
SOL Desktop dental laser offers:

Easy-to-see blue laser light aiming beam
Disposable tips available for all of your perio or cutting needs
Max Power: 3 Watts in continuous laser wavelength mode and 5 Watts in pulse mode

The SOL Desktop Dental Laser Includes:

(1) SOL Diode Laser System with Hand Piece and Optical Fiber
(1) SOL Wireless Foot Switch
(1) AC/DC Power Converter
(1) Laser Operating Key
(1) Fiber Optic Tips, 400 Micron
5pc (25) Single-Use Diode Laser Sheaths for Handpiece
(3) Pairs of Protective Eyewear
(1) Safety Sign
(3) AA Batteries",,,,,https://www.denmat.com/sol-desktop-laser.html,,"https://www.denmat.com/media/catalog/product/s/o/sol-desktop-laser-lr1001w-web_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,1145B,DenMat,1145B,Tenure® A Multi-Purpose Bonding Refill Kit,"The Tenure® Multi-Purpose Bonding (MPB) System (MPB) boasts a proven clinical record of perfect long-lasting, sensitivity-free restorations for more than 30 years. Tenure® A and B multi-purpose, self-cure adhesive bonds to the five intraoral surfaces; enamel, dentin, porcelain, composite, and metal. This versatile bonding agent is compatible with self-cure, dual-cure, and light-cure composite materials and offers high bond strengths, excellent retention, and a low film thickness, along with a significant reduction of microleakage and no-post-operative sensitivity which makes Tenure MPB a favorite among dentists and patients.
Tenure offers:
bonding of all routine direct and indirect resin composites
bonding of porcelain, ceramic veneers, amalgams, precious and semi-precious metals
bonding of indirect gold, porcelain, and ceramic inlays and onlays
crown prep desensitization prior to impression/temp
Includes:
(1) 6mL Bottle of Tenure® A Multi-Purpose Bonding Refill Kit",,,,,https://www.denmat.com/tenure-a-multi-purpose-bonding-6ml-%20refill-kit.html,,"https://www.denmat.com/media/catalog/product/t/e/tenure-multi-purpose-bonding-a-bottle-refill-kit-030114510-web.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,ZENCPBRY6,DenMat,ZENCPBRY6,Zen CP+ berrycalm Gel 6PC,"Zen CP+ desensitizing gel alleviates discomfort from dentin hypersensitivity by mineralizing and occluding the dentin surface and deep inside the dentin tubules.1Formulated with innovative microsphere technology (CAPOSAL®), Zen CP+ features small particles consisting of amorphous calcium magnesium phosphate that penetrate the dentin tubules and rapidly release calcium and phosphate ions for intra-tubular mineralization of a carbonate substituted hydroxyapatite.2,3
Safe and Effective:
Does not contain any milk-derived proteins
Controlled degradation rate increases pH and promotes effective hydroxyapatite formation4
Minerals formed deep into tubules unaffected by wear and acid5
Low abrasion formula does not harm enamel surface
Includes:
(1) Case of (6) 45g Tubes of Zen CP+ berrycalm
1. Data on file: Psilox report R-1239.2. Amorphous Calcium Magnesium Phosphate Particles for Treatment of Dentin Hypersensitivity: A Mode of Action Study, Camilla Berg, Erik Unosson, Håkan Engqvist, and Wei Xia, ACS Biomaterials Science & Engineering 2020, 6 (6), 3599-3607. DOI:10.1021/acsbiomaterials.0c002623. Electron microscopy evaluation of mineralization on peritubular dentin with amorphous calcium magnesium phosphate microspheres, Camilla Berg, Erik Unosson, Lars Riekehr, Wei Xia, and Håkan Engqvist, Ceramics International 2020, 46 (11), 19469-19475. DOI: 10.1016/j.ceramint.2020.04.2954. Data on file: Psilox report R-1186.5. Comparative study of technologies for tubule occlusion and treatment of dentin hypersensitivity, Camilla Berg, Erik Unosson, Håkan Engqvist, Wei Xia, Journal of Functional Biomaterials 2021, 12(2), 1-13. DOI: 10.3390/jfb12020027",,,,,https://www.denmat.com/zencp-berry-gel-6pc.html,,"https://www.denmat.com/media/catalog/product/z/e/zen-cp-plus-berry-tube.png?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700&format=jpeg"
DenMat,SPD1190,DenMat,SPD1190,Impression Material White Intraoral Tips 50/pack,"Disposable white intraoral tip. Fits all impression Light and Extra Light cartridge automix tips. 
Fits CorePaste Cartridge mixing tips. 
Designed for precise and controlled placement of material.
50/pack",pack,50,,,https://www.denmat.com/impression-material-white-intraoral-tips-50-pack.html,,"https://www.denmat.com/media/catalog/product/t/i/tip-spd1190_300_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,030795625,DenMat,030795625,Infinity Syringeable Gold/Black Mixing Tips 10/pack,Disposable gold/black auto-mixing tips for use with Infinity dual-barrel syringe. Designed for precise and controlled placement of material.10/pk,pack,10,,,https://www.denmat.com/infinity-syringeable-gold-black-mixing-tips-10-pack.html,,"https://www.denmat.com/media/catalog/product/t/i/tip-030795625_300.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,033968000,DenMat,033968000,Sapphire® Plus Curing Light,"The Sapphire® Plus Curing Light is a versatile and powerful plasma-arc curing light system. Light-curing composites cure in 3-5 seconds. For quick, convenient, comfortable, and economical curing, Sapphire is the only choice.

Includes:

(1) Sapphire Plus Curing Light
Pistol Protective Orange Shield
Protective Eye Glasses
Curing Rings
9mm Curing Tip
Operator’s Manual",,,,,https://www.denmat.com/sapphirer-plus-curing-light.html,,"https://www.denmat.com/media/catalog/product/s/a/sapphire-plus-curing-light-33968000-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,S40901,DenMat,S40901,Pro-Select Platinum® Foot Pedal,"(1) Foot Pedal with Cable
DenMat's Pro-Select Platinum® Ultrasonic Scaler takes scaling and root planing (SRP) therapy to an all new level. It is the only system that combines the superb piezo ultrasonic scaling solution with heated subgingival irrigation.",,,,,https://www.denmat.com/pro-select-platinum-foot-pedal.html,,"https://www.denmat.com/media/catalog/product/p/r/pro-select-platinum-foot-pedal-s40901-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
DenMat,S40801,DenMat,S40801,Pro-Select Platinum® Scaler Handpiece,"(1) Scaler Handpiece
DenMat's Pro-Select Platinum® Ultrasonic Scaler takes scaling and root planing (SRP) therapy to an all new level. It is the only system that combines the superb piezo ultrasonic scaling solution with heated subgingival irrigation.",,,,,https://www.denmat.com/pro-select-platinum-scaler-handpiece.html,,"https://www.denmat.com/media/catalog/product/p/r/pro-select-platinum-scaler-handpiece-s40801-web.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700"
