Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategories,Product Page URL,Attachement,Image URL
Hufried Group,38008,Hufried Group,38008,Full Facemask — Adult,"Description
            Surgery System AccessoriesReplacement part for Demand Valve, Manual Resuscitator, and Oral Surgery System.",,,digital-ultratm-oral-surgery,,https://www.hufriedygroup.com/digital-ultratm-oral-surgery/full-facemask-adult,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-38008-full-facemask-adult-1000x1000-2106.jpg?itok=Xnps1g6i
Hufried Group,56800-CHAIR,Hufried Group,56800-CHAIR,Accutron™ Digital Ultra™ Flushmount Package H CHAIR — Remote Flow System for RFS Chairmount Kits (sold separately),"Description
            The Digital Ultra™ Flushmount is the right choice for clinicians who prefer to work in a digital environment but want critical parameters displayed both numerically and as electronic flow tubes. The ease of color-coded, fingertip controls is an additional feature of the flowmeter. Its sealed flush surface makes it easy to disinfect or barrier-protect. The unit's design complements aseptic, contemporary operatory environments.

Automatic compensation to easily adjust total flow or gas ratiowhile the other stays constant.
Both digital and electronic flowtube displays for ease of use.
Maximum nitrous oxide ratio at 70% for patient safety.
Audible and visual alarms to notify of low oxygen.
Oxygen fail-safe and flush for additional safety.
Emergency oxygen resuscitation connector.
Sealed flush surface makes it easy to disinfect or barrier-protect.
Multiple mounting options available.

All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Dimensions (W x H x D)Flushmount Control Module: 9 1/4"" x 4"" x 1 1/2""Remote Main Module: 8"" x 4"" x 7 1/2""Mounted Dimensions (W x H x D): 9 1/2"" x 4 1/4"" x 1/4""Weight Flushmount Control Module: 1.3 lbs (0.6 kg)Weight Remote Main Module: 6.1 lbs (2.8 kg)Mixed Gas Outlet Diameter: 7/8"" Nominal (22 mm)Oxygen Inlet: Male DISS (CGA 1240)Nitrous Oxide Inlet: Male DISS (CGA 1040)Nitrous Oxide Mixed Ratio Range: 0-70%Oxygen Flow Range: 1.0-9.9 LPMNitrous Oxide Flow Range: 0-6.9 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect(1/4"" Imperial) at Remote OutletResuscitator Connector Flow: 100 LPM OxygenPower Requirements: 100-240 Volt AC; 50-60 HzIncludes: Digital Ultra™ Flushmount Flowmeter, Mounting Hardware, Remote Flow System A, Oxygen Outlet, O2 and N2O Check Valve Risers, 25' of Vacuum Hose, 25' Mixed Gas Hose, One 6' N2O Hose, Two 6' O2 Hoses, and Scavenging Circuit II (for RFS-A).",,,digital-ultratm-flowmeters,,https://www.hufriedygroup.com/digital-ultratm-flowmeters/accutrontm-digital-ultratm-flushmount-package-h-chair-remote-flow-system,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-56800-CHAIR-digital-ultra-flushmount-package-h-chair-2106.jpg?itok=p8nmJucb
Hufried Group,56300,Hufried Group,56300,Accutron™ Accutron™ Digital Ultra™ Package D—9-inch Wall Arm,"Description
            The Digital Ultra™ is the right choice for clinicians who prefer to work in a digital environment but want critical parameters displayed both numerically and as electronic flow tubes. The ease of color-coded, fingertip controls is an additional feature of the flowmeter. Its sealed flush surface makes it easy to disinfect or barrier-protect. The unit's design complements aseptic, contemporary operatory environments.

Automatic compensation to easily adjust total flow or gas ratiowhile the other stays constant.
Both digital and electronic flowtube displays for ease of use.
Maximum nitrous oxide ratio at 70% for patient safety.
Audible and visual alarms to notify of low oxygen.
Oxygen fail-safe and flush for additional safety.
Emergency oxygen resuscitation connector.
Sealed flush surface makes it easy to disinfect or barrier protect.

(Note: Quick connect hoses sold separately)
All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Dimensions (W x H x D): 7 1/2"" x 7"" x 8 3/4""Weight: 6.3 lbsMixed Gas Outlet Diameter: 7/8"" Nominal (22 mm)Oxygen Inlet: Male DISS (CGA-1240)Nitrous Oxide Inlet: Male DISS (CGA-1040)Nitrous Oxide Mixed Ratio Range: 0-70%Oxygen Flow Range: 1.0-9.9 LPMNitrous Oxide Flow Range: 0-6.9 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect (1/4"" Imperial)Resuscitator Connector Flow: 100 LPM OxygenPower Requirements: 100-240 Volt AC; 50-60 HzIncludes: Digital Ultra™ Flowmeter, 9-inch Wall Arm, Scavenging Circuit II.",,,digital-ultratm-flowmeters,,https://www.hufriedygroup.com/digital-ultratm-flowmeters/accutrontm-accutrontm-digital-ultratm-package-d-9-inch-wall-arm,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-56300-digital-ultra-flowmeter-package-d-2106.jpg?itok=mXn2zSws
Hufried Group,33030-10,Hufried Group,33030-10,Adult Cannula with 7 ft. Tubing (pkg. of 10),"Description
            Surgery System AccessoriesCurved tips, latex-free, 10 per pkg",,,digital-ultratm-oral-surgery,,https://www.hufriedygroup.com/digital-ultratm-oral-surgery/adult-cannula-7-ft-tubing-pkg-10,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-NasalMask-InfoSheet-2206-web-1.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-33030-10-adult-cannula-with-7-ft-tubing-pkg-of-10-adult-cannula-with-7-ft-tubing-pkg-of-10-2104.jpg?itok=cp1wLj5G
Hufried Group,36100,Hufried Group,36100,Accutron™ Ultra PC™ % Package B – 4-Cylinder Portable,"Description
            The Ultra PC™ % Cabinet Mount Flowmeter offers a solution to the increasingly complex issue of operatory space planning. The low-profile unit complements modern operatory design and can be built into a variety of office cabinetry configurations.

Single-knob total flow control.
Nitrous oxide ratio control with 70% maximum.
Oxygen fail-safe and oxygen flush.
Oxygen resuscitation connector.
Emergency air valve.
Directional check valve.
Continuous oxygen and nitrous oxide flow tubes.

(Note: Requires separate purchase of appropriate RFS Chairmount Kit (see product line RFS Chairmount Kits))
All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Product SpecificationsDimensions (W x H x D): 4 1/4"" x 10 1/2"" x 8""Weight: 4.5 lb (2.0 kg)Mixed Gas Outlet Diameter: 7/8"" nominal (22 mm)Oxygen Inlet: Male DISS (CGA-1240)Nitrous Oxide Inlet: Male DISS (CGA-1040)Nitrous Oxide Mix Ratio Range: 0-70%Oxygen Flow Range: 1-10 LPMNitrous Oxide Flow Range: 0-7 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect (1/4"" Imperial)Resuscitator Connector Flow: 100 LPM OxygenIncludes: Ultra PC™ % Flowmeter, 4-Cylinder Portable System, Scavenging Circuit II.",,,ultra-pctm-flowmeters,,https://www.hufriedygroup.com/ultra-pctm-flowmeters/accutrontm-ultra-pctm-package-b-4-cylinder-portable,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082","/sites/default/files/styles/500x500/public/HuFriedyGroup-36100-OS-ultra-pc-oral-surgery-package-b-4-cylinder-portable-500x500-2105.jpg?itok=79NXdtTY,/sites/default/files/styles/500x500/public/HuFriedyGroup-36100-ultra-pc-percent-flowmeter-package-b-2106.jpg?itok=yKHnBblG"
Hufried Group,36600,Hufried Group,36600,Accutron™ Ultra PC™ % Cabinet Mount Package G,"Description
            The Ultra PC™ % Cabinet Mount Flowmeter offers a solution to the increasingly complex issue of operatory space planning. The low-profile unit complements modern operatory design and can be built into a variety of office cabinetry configurations.

Single-knob total flow control.
Nitrous oxide ratio control with 70% maximum.
Oxygen fail-safe and oxygen flush.
Oxygen resuscitation connector.
Emergency air valve.
Directional check valve.
Continuous oxygen and nitrous oxide flow tubes.

All Accutron flowmeters carry a 2-year warranty – the longest flowmeter warranty in the dental industry.
Dimensions (W x H x D): 9 3/4"" x 4 3/4"" x 3 1/2""Mounted Dimensions (W x H x D): 9 3/4"" x 4 3/4"" x 1 1/4"" (to end of knobs); 9 3/4"" x 4 3/4"" x 1/4"" (front plate only)Weight: 6 lb (2.7 kg)Mixed Gas Outlet Diameter: 7/8"" nominal (22 mm)Oxygen Inlet: Male DISS (CGA 1240)Nitrous Oxide Inlet: Male DISS (CGA 1040)Nitrous Oxide Mix Ratio Range: 0-70%Oxygen Flow Range: 1-10 LPMNitrous Oxide Flow Range: 0-7 LPMInlet Pressure (each gas): 50-55 psiResuscitator Connector: Quick Connect (1/4"" Imperial)Resuscitator Connector Flow: 100 LPM OxygenIncludes: Ultra PC™ % Cabinet Mount Flowmeter, Mounting Hardware, Check Valve Risers, Bag Tee & Scavenging Circuit II (standard).",,,ultra-pctm-flowmeters,,https://www.hufriedygroup.com/ultra-pctm-flowmeters/accutrontm-ultra-pctm-cabinet-mount-package-g,"https://www.hufriedygroup.com/sites/default/files/2021-07/26256%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-DE%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K%20DE.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-IT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20K.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/26256-PT%20Digital%20Ultra%20Flowmeter%20Manual%20Rev%20L%20PT.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/0319_dlit00786_rev_a_accutron_flowmeter_brochure_single_pages_digital.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-Accutron-Brochure-8.5x11-DLIT00786-RevB-US-2203-Web.pdf,/documents/34082","/sites/default/files/styles/500x500/public/HuFriedyGroup-36600-OS-ultra-pc-oral-surgery-flushmounts-2000x2000-2106.jpg?itok=7Z1hWmaB,/sites/default/files/styles/500x500/public/HuFriedyGroup-36600-ultra-pc-cabinet-mount-flowmeter-package-g-2106.jpg?itok=L75QOENE"
Hufried Group,33037-10-CAP,Hufried Group,33037-10-CAP,"Accutron™ ClearView™ Nasal Masks with Capnography Adapters, Pediatric","Description
            Allows CO2 capnograph monitor sample line connection for the purpose of monitoring patient end-tidal CO2 (EtCO2). Attaches between ClearView™ nasal mask and scavenging circuit; flexibility in connecting to either right or left side of the patient mask. Capnography sampling takes place within the nasal mask and directly measures patient’s exhalations at the source.
FEATURES AND BENEFITS:

Female Luer-Lok® port provides a secure connection to capnograph monitor sample line
Connects to either right or left side of mask for additional flexibility
Single-use and individually wrapped to minimize cross-contamination and save staff time

Not made with natural rubber latexPediatric Outlaw Orange",,,capnography-adapters,,https://www.hufriedygroup.com/capnography-adapters/accutrontm-clearviewtm-nasal-masks-capnography-adapters-pediatric,"https://www.hufriedygroup.com/sites/default/files/2021-07/28744%20Clearview%20Nasal%20Masks%20Rev%20F.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/dlit00463_rev_b1019_clearview_masks_brochure_single_pages.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-NasalMask-InfoSheet-2206-web-1.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-33037-10-CAP-clearview-nasal-mask-with-capnography-adapter-pediatric-outlaw-orange-2106.jpg?itok=pUrcomdx
Hufried Group,33034-10-CAP,Hufried Group,33034-10-CAP,"Accutron™ ClearView™ Nasal Masks with Capnography Adapters, Large Adult","Description
            Allows CO2 capnograph monitor sample line connection for the purpose of monitoring patient end-tidal CO2 (EtCO2). Attaches between ClearView™ nasal mask and scavenging circuit; flexibility in connecting to either right or left side of the patient mask. Capnography sampling takes place within the nasal mask and directly measures patient’s exhalations at the source.
FEATURES AND BENEFITS:

Female Luer-Lok® port provides a secure connection to capnograph monitor sample line
Connects to either right or left side of mask for additional flexibility
Single-use and individually wrapped to minimize cross-contamination and save staff time

Not made with natural rubber latexLarge Outlaw Orange",,,capnography-adapters,,https://www.hufriedygroup.com/capnography-adapters/accutrontm-clearviewtm-nasal-masks-capnography-adapters-large-adult,"https://www.hufriedygroup.com/sites/default/files/2021-07/28744%20Clearview%20Nasal%20Masks%20Rev%20F.pdf,https://www.hufriedygroup.com/sites/default/files/2021-07/dlit00463_rev_b1019_clearview_masks_brochure_single_pages.pdf,https://www.hufriedygroup.com/sites/default/files/2022-06/NOOS-NasalMask-InfoSheet-2206-web-1.pdf,/documents/34082",/sites/default/files/styles/500x500/public/HuFriedyGroup-33034-10-CAP-clearview-nasal-mask-with-capnography-adapter-large-adult-outlaw-orange-2106.jpg?itok=B2AKnHvm
Hufried Group,34077,Hufried Group,34077,Surface Q/C O2 Outlet,"Description
            White outlet accommodates both Accutron™ and Porter™ quick connect hoses. Surface outlets can be installed after the fact when walls are already in place.White outlet accommodates both Accutron™ and Porter™ quick connect hoses.",,,surface-outlets,,https://www.hufriedygroup.com/surface-outlets/surface-q-c-o2-outlet,/documents/34082,/sites/default/files/styles/500x500/public/HuFriedyGroup-34077-surface-q-c-o2-outlet-500x500-2105.jpg?itok=kQL3jDyL
Hufried Group,KO12KPO3A6_1,Hufried Group,KO12KPO3A6_1,1/2 Allen Modified Orban Knife,"Description
            Allen modified Orban is 30% thinner than standard Orban. Angled blade and contra-angled shank for posterior use.Allen modified Orban is 30% thinner than standard Orban.",,,surface-outlets,,https://www.hufriedygroup.com/surface-outlets/1-2-allen-modified-orban-knife,"https://www.hufriedygroup.com/sites/default/files/IP-InfoSheet-SporeCheck-StepByStepGuide-IMS-305-2112.pdf,https://www.hufriedygroup.com/sites/default/files/Surgical-Catalog_HF-711_2014_MC.pdf,https://www.hufriedygroup.com/sites/default/files/FINAL%20102_Enzymax_Brochure_IMS-329_0617.pdf,/documents/34082","/sites/default/files/styles/500x500/public/KO12KPO3A6-1__ko12kpo3a6_full_rgb.jpg?itok=ucnXLtMa,/sites/default/files/styles/500x500/public/KO12KPO3A6-1__ko12kpo3a6_h1_rgb.jpg?itok=yVJl7Ong,/sites/default/files/styles/500x500/public/KO12KPO3A6-1__ko12kpo3a6_h2_rgb.jpg?itok=Mfu2GDOF"
