Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategory,Product Page URL,Attachment URL,Image URL
Centrixdental, 360010,Centrixdental, 360010,SuperMixer-Teal Hub - 24 ct. ($50.99) REF 360010,"High-efficiency mixers for less waste!Centrix SuperMixers are high performance mixing nozzles with new mixing technology, easier-to-use design and up-to-38% reduced material waste!Approximately 25% shorter for easier intra-oral accessUp to 38% reduced material waste.Provides even better more thorough mixingReplaces any 1:1 mixing nozzle – same color for same colorDesigned for the 1:1 automix systemReduce waste, and get many more uses of every type of material tested, resulting in significant increases in billable fees and increased profits. Hub ColorTypical ApplicationsWaste Reduction (avg.)1Additional Uses (avg.)2More Usable MaterialBlueTemp. Crown & Bridge38%3169%YellowCore Buildup29%2228%PinkRetraction30%1034%TealImpression Making28%2†22%1. Average waste reduction vs. old-style nozzles, per 50 mL cartridge using Centrix materials. Results may vary depending on material.2. Average number of additional core buildups per 50 mL / 76 gr cartridge.† Bite registration from 2 cartridge kits.", ct.,24,impressioning,,https://www.centrixdental.com/supermixer.html,https://www.centrixdental.com/pub/media/wysiwyg/product-literature/SuperMixNozzles.pdf,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/t/e/teal-hub_4_1_1.png,https://www.centrixdental.com/media/catalog/product/cache/1/image/e9c3970ab036de70892d86c6d221abfe/t/e/teal-hub_4_1_1.png"
Centrixdental, 910628,Centrixdental, 910628,SuperMixer-Yellow Hub - 50 ct. ($85.99) REF 910628,"High-efficiency mixers for less waste!Centrix SuperMixers are high performance mixing nozzles with new mixing technology, easier-to-use design and up-to-38% reduced material waste!Approximately 25% shorter for easier intra-oral accessUp to 38% reduced material waste.Provides even better more thorough mixingReplaces any 1:1 mixing nozzle – same color for same colorDesigned for the 1:1 automix systemReduce waste, and get many more uses of every type of material tested, resulting in significant increases in billable fees and increased profits. Hub ColorTypical ApplicationsWaste Reduction (avg.)1Additional Uses (avg.)2More Usable MaterialBlueTemp. Crown & Bridge38%3169%YellowCore Buildup29%2228%PinkRetraction30%1034%TealImpression Making28%2†22%1. Average waste reduction vs. old-style nozzles, per 50 mL cartridge using Centrix materials. Results may vary depending on material.2. Average number of additional core buildups per 50 mL / 76 gr cartridge.† Bite registration from 2 cartridge kits.", ct.,50,impressioning,,https://www.centrixdental.com/supermixer.html,https://www.centrixdental.com/pub/media/wysiwyg/product-literature/SuperMixNozzles.pdf,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/y/e/yellow-hub_2_1_1.png,https://www.centrixdental.com/media/catalog/product/cache/1/image/e9c3970ab036de70892d86c6d221abfe/y/e/yellow-hub_2_1_1.png"
Centrixdental, 910631,Centrixdental, 910631,SuperMixer-Yellow Hub with 18ga Green Tip - 50 ct. ($100.99) REF 910631,"High-efficiency mixers for less waste!Centrix SuperMixers are high performance mixing nozzles with new mixing technology, easier-to-use design and up-to-38% reduced material waste!Approximately 25% shorter for easier intra-oral accessUp to 38% reduced material waste.Provides even better more thorough mixingReplaces any 1:1 mixing nozzle – same color for same colorDesigned for the 1:1 automix systemReduce waste, and get many more uses of every type of material tested, resulting in significant increases in billable fees and increased profits. Hub ColorTypical ApplicationsWaste Reduction (avg.)1Additional Uses (avg.)2More Usable MaterialBlueTemp. Crown & Bridge38%3169%YellowCore Buildup29%2228%PinkRetraction30%1034%TealImpression Making28%2†22%1. Average waste reduction vs. old-style nozzles, per 50 mL cartridge using Centrix materials. Results may vary depending on material.2. Average number of additional core buildups per 50 mL / 76 gr cartridge.† Bite registration from 2 cartridge kits.", ct.,50,impressioning,,https://www.centrixdental.com/supermixer.html,https://www.centrixdental.com/pub/media/wysiwyg/product-literature/SuperMixNozzles.pdf,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/b/l/blue-hub_5_1_1.png,https://www.centrixdental.com/media/catalog/product/cache/1/image/e9c3970ab036de70892d86c6d221abfe/b/l/blue-hub_5_1_1.png"
Centrixdental, 910637,Centrixdental, 910637,SuperMixer-380 Yellow - 40 ct. ($85.99) REF 910637,"High-efficiency mixers for less waste!Centrix SuperMixers are high performance mixing nozzles with new mixing technology, easier-to-use design and up-to-38% reduced material waste!Approximately 25% shorter for easier intra-oral accessUp to 38% reduced material waste.Provides even better more thorough mixingReplaces any 1:1 mixing nozzle – same color for same colorDesigned for the 1:1 automix systemReduce waste, and get many more uses of every type of material tested, resulting in significant increases in billable fees and increased profits. Hub ColorTypical ApplicationsWaste Reduction (avg.)1Additional Uses (avg.)2More Usable MaterialBlueTemp. Crown & Bridge38%3169%YellowCore Buildup29%2228%PinkRetraction30%1034%TealImpression Making28%2†22%1. Average waste reduction vs. old-style nozzles, per 50 mL cartridge using Centrix materials. Results may vary depending on material.2. Average number of additional core buildups per 50 mL / 76 gr cartridge.† Bite registration from 2 cartridge kits.", ct.,40,impressioning,,https://www.centrixdental.com/supermixer.html,https://www.centrixdental.com/pub/media/wysiwyg/product-literature/SuperMixNozzles.pdf,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/p/i/pink-hub_2_1_1.png,https://www.centrixdental.com/media/catalog/product/cache/1/image/e9c3970ab036de70892d86c6d221abfe/p/i/pink-hub_2_1_1.png"
Centrixdental, 910626,Centrixdental, 910626,SuperMixer-Blue Hub - 50 ct. ($89.99) REF 910626,"High-efficiency mixers for less waste!Centrix SuperMixers are high performance mixing nozzles with new mixing technology, easier-to-use design and up-to-38% reduced material waste!Approximately 25% shorter for easier intra-oral accessUp to 38% reduced material waste.Provides even better more thorough mixingReplaces any 1:1 mixing nozzle – same color for same colorDesigned for the 1:1 automix systemReduce waste, and get many more uses of every type of material tested, resulting in significant increases in billable fees and increased profits. Hub ColorTypical ApplicationsWaste Reduction (avg.)1Additional Uses (avg.)2More Usable MaterialBlueTemp. Crown & Bridge38%3169%YellowCore Buildup29%2228%PinkRetraction30%1034%TealImpression Making28%2†22%1. Average waste reduction vs. old-style nozzles, per 50 mL cartridge using Centrix materials. Results may vary depending on material.2. Average number of additional core buildups per 50 mL / 76 gr cartridge.† Bite registration from 2 cartridge kits.", ct.,50,impressioning,,https://www.centrixdental.com/supermixer.html,https://www.centrixdental.com/pub/media/wysiwyg/product-literature/SuperMixNozzles.pdf,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/y/e/yellow-hub-green-tip_1_1_1.png,https://www.centrixdental.com/media/catalog/product/cache/1/image/e9c3970ab036de70892d86c6d221abfe/y/e/yellow-hub-green-tip_1_1_1.png"
Centrixdental, 910632,Centrixdental, 910632,SuperMixer-Pink Hub - 50 ct. ($99.99) REF 910632,"High-efficiency mixers for less waste!Centrix SuperMixers are high performance mixing nozzles with new mixing technology, easier-to-use design and up-to-38% reduced material waste!Approximately 25% shorter for easier intra-oral accessUp to 38% reduced material waste.Provides even better more thorough mixingReplaces any 1:1 mixing nozzle – same color for same colorDesigned for the 1:1 automix systemReduce waste, and get many more uses of every type of material tested, resulting in significant increases in billable fees and increased profits. Hub ColorTypical ApplicationsWaste Reduction (avg.)1Additional Uses (avg.)2More Usable MaterialBlueTemp. Crown & Bridge38%3169%YellowCore Buildup29%2228%PinkRetraction30%1034%TealImpression Making28%2†22%1. Average waste reduction vs. old-style nozzles, per 50 mL cartridge using Centrix materials. Results may vary depending on material.2. Average number of additional core buildups per 50 mL / 76 gr cartridge.† Bite registration from 2 cartridge kits.", ct.,50,impressioning,,https://www.centrixdental.com/supermixer.html,https://www.centrixdental.com/pub/media/wysiwyg/product-literature/SuperMixNozzles.pdf,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/n/o/nocord_yellow_mixingtip_1.jpg,https://www.centrixdental.com/media/catalog/product/cache/1/image/e9c3970ab036de70892d86c6d221abfe/n/o/nocord_yellow_mixingtip_1.jpg"
Centrixdental,310280,Centrixdental,310280,NoCord,"NoCord™ VPS is a unique impressioning system that makes impression taking easier, more predictable and more assured.The NoCord™ VPS Introductory Kit is a revolutionary one step, self-retracting, impressioning system designed specifically for the wash and tray technique. It consists of the Centrix NoCord™ Wash and NoCord™ MegaBody™ Tray Materials which together produce highly accurate dental impressions without the need for retraction cords and pastes.NoCord Wash and NoCord MegaBody Tray Materials are addition-reaction silicone-based elastomeric materials, or vinyl polysiloxane (VPS) impression materials, offering excellent physical and dimensional properties as well as providing high accuracy and stability.Without a separate retraction procedure, NoCord Wash and MegaBody Tray Materials have been specially formulated to work together as a system and should always be used together to obtain the best, final impression results.Kit includes:NoCord Wash Material (1 x 50mL)NoCord MegaBody Tray Material (2 x 50mL)SuperMixer™ Mixing Tip, 12 Teal Hubs (use with tray materials)SuperMixer Mixing Tip, 12 Yellow Hubs with 18 gauge green hub stainless steel tip (use with wash materials)3.n.One™ Impression Trays Sampler (2 anterior, 2 posterior and 2 quadrant dual arch trays)Clinical Case Video",,1,impressioning,,https://www.centrixdental.com/nocord-vps-introductory-trial-kit.html,https://www.centrixdental.com/pub/media/wysiwyg/product-literature/NoCord.pdf,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/n/o/nocord_introkit_wburst.jpg,https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/n/o/nocord-nokidding_nocordvps_cordless-impressioning-system_1.jpg,https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/n/o/nocord-vps-dentistry-today-top-innovative-products-2019_1.png,https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/d/p/dps_recommended_nocordvps_2.png"
Centrixdental,360005,Centrixdental,360005,Access,Access® Tray Adhesive - ensures reliable adhesion of impression material to the impression tray to avoid deformation.Order contains one 10ml bottle,,1,impressioning,,https://www.centrixdental.com/access-tray-adhesive.html,https://www.centrixdental.com/media/wysiwyg/product-literature/AccessVPS.pdf,https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/t/r/trayadhesive.png
Centrixdental,360015,Centrixdental,360015,Access,"Accurate, dimensionally stable impressions are the critical requirement for well-fitting restorations. That’s why Centrix Access Impression materials feature no-compromise, VPS formulas that ensure you of successful results, time after time. Trust Access Impression materials to deliver exacting performance in all crown and bridge casesAccess PUTTY® is the ideal tray material for the 2-step putty and wash technique, in combination with Access Gold. Non-oily and easy to mix, Access Putty may be used with any brand of rigid metal or plastic impression tray.Contains: 2 x 280 mL jarsAccess Impression Materials Setting TimesProductPuttyViscosityPuttyTechniqueTrayMixing Time:30Working Time2:00Intraoral Time1:45Total Set Time4:15",,1,impressioning,,https://www.centrixdental.com/access-putty.html,https://www.centrixdental.com/media/wysiwyg/product-literature/AccessVPS.pdf,https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/a/c/access-putty.jpg
Centrixdental, 360012,Centrixdental, 360012,3.n.One-35 Posterior Trays ($59.99) REF 360012,"Unique undercut ridges lock impression materials in placeHigh rigidity with non-tear, flexible webbing ensures maximum accuracyThree different shapes to meet all applications",,,impressioning,,https://www.centrixdental.com/3none-impression-trays.html,,"https://www.centrixdental.com/media/catalog/product/cache/1/image/1000x1240/e9c3970ab036de70892d86c6d221abfe/3/n/3nonetrays_1.png,https://www.centrixdental.com/media/catalog/product/cache/1/image/e9c3970ab036de70892d86c6d221abfe/3/n/3nonetrays_1.png"
