Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 785-910-02 , Essential Dental Systems , 785-910-02 ,Bio-LCB Starter Pack 2/Pk,"Bio-LCB was developed as a shock-absorbing protective base/liner under
composites, amalgams, and other cement materials. Unlike other bases/liners,
Bio-LCB provides superior strength, bonds to dentin, and promotes dentin
remineralization. The proprietary UDMA-based formulation forms calcium
hydroxide upon curing which results in an increase in pH. This action protects
the pulp, stimulating pulpal cells to form dentin and decreases the risk of
secondary decay. This unique composition also contains remineralizing agents
which are released upon setting to form hydroxyapatite and further aid in the
remineralization of the surrounding dentition.  
  
Advanced Features Include:

  * Bonds to dentin to prevent bacterial leakage and secondary decay
  * Promotes reparative dentin remineralization
  * Strong mechanical shock absorbing protection - bonds to dentin and restorative materials
  * Low polymerization shrinkage

", Supplies ,Cements & Liners,Pk,2,https://www.dcdental.com/Bio-LCB-910-02,https://www.dcdental.com/images/516324654176.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 785-910-04 , Essential Dental Systems , 785-910-04 ,Bio-LCB Economy Pack 4/Pk,"Bio-LCB was developed as a shock-absorbing protective base/liner under
composites, amalgams, and other cement materials. Unlike other bases/liners,
Bio-LCB provides superior strength, bonds to dentin, and promotes dentin
remineralization. The proprietary UDMA-based formulation forms calcium
hydroxide upon curing which results in an increase in pH. This action protects
the pulp, stimulating pulpal cells to form dentin and decreases the risk of
secondary decay. This unique composition also contains remineralizing agents
which are released upon setting to form hydroxyapatite and further aid in the
remineralization of the surrounding dentition.  
  
Advanced Features Include:

  * Bonds to dentin to prevent bacterial leakage and secondary decay
  * Promotes reparative dentin remineralization
  * Strong mechanical shock absorbing protection - bonds to dentin and restorative materials
  * Low polymerization shrinkage

", Supplies ,Cements & Liners,Pk,4,https://www.dcdental.com/Bio-LCB-910-04,https://www.dcdental.com/images/701223035779.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 785-910-50 , Essential Dental Systems , 785-910-50 ,Bio-LCB Syringe Tips 50/Pk,"Bio-LCB was developed as a shock-absorbing protective base/liner under
composites, amalgams, and other cement materials. Unlike other bases/liners,
Bio-LCB provides superior strength, bonds to dentin, and promotes dentin
remineralization. The proprietary UDMA-based formulation forms calcium
hydroxide upon curing which results in an increase in pH. This action protects
the pulp, stimulating pulpal cells to form dentin and decreases the risk of
secondary decay. This unique composition also contains remineralizing agents
which are released upon setting to form hydroxyapatite and further aid in the
remineralization of the surrounding dentition.  
  
Advanced Features Include:

  * Bonds to dentin to prevent bacterial leakage and secondary decay
  * Promotes reparative dentin remineralization
  * Strong mechanical shock absorbing protection - bonds to dentin and restorative materials
  * Low polymerization shrinkage

", Supplies ,Cements & Liners,Pk,50,https://www.dcdental.com/Bio-LCB-910-50,https://www.dcdental.com/images/132812474288.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 350-10993 , ORCA Products , 350-10993 ,ORCA Dry Socket Solution 10mL,"ORCA™ DRY SOCKET is an all natural and clinically proven treatment for dry
sockets and oral pain. This highly-effectivtive, non-medicated alternative to
traditinal dry-socket treatments consists only of essential oils, Aloe Vera
and other proprietary natural ingredients.

", Supplies ,Surgical Products,,,https://www.dcdental.com/ORCA-Dry-Socket-10993,https://www.dcdental.com/images/227017632813.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 350-3109909 , ORCA Products , 350-3109909 ,ORCA Pain Relief Putty 24/Pk,"ORCA® Pain Relief Putty is fast acting, long lasting and won't run or drip.
It's ideal for relieving pain from toothache, gum pain, dry sockets, or oral
ulcers. ORCA Pain Relief Putty is all natural and has been clinically proven
to relieve symptoms of a toothache in a pre-op setting from a 7.5/10 to a
0.5/10 in 9 minutes.

", Supplies ,Surgical Products,Pk,24,https://www.dcdental.com/ORCA-Pain-Relief-Putty-3109909,https://www.dcdental.com/images/616304364702.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 350-009915 , ORCA Products , 350-009915 ,ORCA Foam Porcine Gelatin Hemostatic Sponges 50/Pk,"  * Ideal size for easy application
  * Absorbs up to 35x its weight
  * Rapid hemostasis
  * Aids in control of hemorrhage in surgical or extraction sites
  * No cutting required
  * Helps prevent cross contamination
  * Fast, complete resorption
  * Excellent carrier medium for fluids such as antibiotics or ORCA Professional Dry Socket

", Supplies ,Surgical Products,Pk,50,https://www.dcdental.com/ORCA-Foam-Hemostat-9915,https://www.dcdental.com/images/640488051127.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 996-3660WH2XL , ValuMax , 996-3660WH2XL ,Extra-Safe Lab Coats White 2XL 10/Pk,"Durable unisex lab coat made for protection and comfort with SMS material that
is fluid resistant, highly breathable, and fire retardant.

  * Soft, Protective 3-layer SMS fabrics
  * Fluid-Resistant and Breathable
  * Latex-free & Fire Retardant
  * Autoclavable & Washable
  * Up to 5 times Meets OSHA Requirements
  * Anti-Static Treated – No Clinging
  * Knee Length
  * 3 Pockets (2 hip pockets; 1 breast pocket)
  * Snap Front

", Supplies ,Infection Control,Pk,10,https://www.dcdental.com/Extra-Safe-Lab-Coats-3660WH2XL,https://www.dcdental.com/images/714644868444.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 606-1306C ," Mada Medical Products, Inc. ", 606-1306C ,Refill Adapter,"

", Supplies ,Small Equipment,,,https://www.dcdental.com/Oxy-Uni-Pak-1306C,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 350-109905 , ORCA Products , 350-109905 ,ORCA Pain Relief Putty 6/Pk,"ORCA™ Pain Relief Putty is fast acting, long lasting and won't run or drip.
It's ideal for relieving pain from toothache, gum pain, dry sockets, or oral
ulcers. ORCA Pain Relief Putty is all natural and has been clinically proven
to relieve symptoms of a toothache in a pre-op setting from a 7.5/10 to a
0.5/10 in 9 minutes.  
  
Features include:

  * Safe and effective, non-pharmaceutical product made with all natural ingredients including essential oils, aloe vera, and plant extracts
  * Can send home with patients as a ""take home"" for pre- or post-op pain
  * Clinically proven to relieve pain (over a decade of research and clinical use)
  * Putty texture allows it to say in place and directly target pain

", Supplies ,Surgical Products,Pk,6,https://www.dcdental.com/ORCA-Pain-Relief-Putty-109905,https://www.dcdental.com/images/702535426309.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 100-9542SC ," Pac-Dent, Inc. ", 100-9542SC ,iVac Irrigation System S-type Piezo Connector w/2-Rings 1/Pk,"The iVac™ System is designed to be used during the root canal treatment
irrigation phase, preferably connected to a piezo ultrasonic handpiece. The
system was created using the three most important concepts established by the
endodontic research and science for root canal irrigation and disinfection.  
  
Advantages:

  * The iVac™ uses apical negative pressure with concomitant irrigation, which avoids the risk of extrusion of the irrigant while allowing the irrigating fluid to clean and disinfect the entire root canal to the working length1, 2.
  * iVac™ is highly instrumental in cases where irrigation depth control is essential3, such as young teeth, apexification, regeneration, and apical foramen resorptions.
  * The iVac™ design allows the continuous exchange of ultrasonically activated irrigants with constant refreshment into the root canal system throughout the procedure.
  * It can effectively clean and disinfect irregularities of the root canal system with the action of continuous ultrasonic irrigation,4, 5, 6
  * The polymer microcannula allows effective ultrasonic activation7 of the irrigant, even in curved canals.

", Supplies ,Small Equipment,Pk,1,https://www.dcdental.com/iVac-LED-Piezo-Ultrasonic-9542SC,https://www.dcdental.com/images/184375482347.01.png?resizeid=2&resizeh=600&resizew=600
