Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 666-13248364 , Procter & Gamble , 666-13248364 ,Oral-B Interdental Brush Kit 24/Pk,"Provides effective cleaning around bridges, braces and wide interdental
spaces. Using an angled head and brush refills, the interdental brush system
helps you to keep your teeth clean and healthy.

", Supplies ,Preventives,Pk,24,https://www.dcdental.com/Oral-B-Interdental-Brush-13248364,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 198-91858 ," Danville Materials, Inc. ", 198-91858 ,"PrepStart Cap, Ring, Bottle","PrepStart™ air-treatment technology system offers anesthesia- and dental-bur-
free dentistry in a minimally-invasive fashion. The unit achieves clean and
smooth preparations while also improving the bond strength to popular
substrates, including Zirconia. PrepStart can be successfully used by
clinicians, dental hygienists and assistants in helping them perform other
clinical functions such as cleaning the margins and internal surface of
preparations, removing stains, remnant restorative materials, or infected
carious dentin or biofilm.

  * Minimally-invasive dentistry without a dental bur
  * Anesthesia-free cavity preparation
  * Cleaner and more conservative preparations
  * Optimal patient comfort and clinical efficacy

", Supplies ,Small Equipment,,,https://www.dcdental.com/PrepStart-Air-Abrasion-91858,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 374-P109-LG , TPC Advanced Technology , 374-P109-LG ,"Light Guide (for LED60N, LED70N) Larger Chuck","Replacement light guide (8mm)

", Supplies ,Small Equipment,,,https://www.dcdental.com/LED-Light-P109-LG,https://www.dcdental.com/images/502604641424.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 814-16-1100 , Metrex - Kerr TotalCare , 814-16-1100 ,CaviWipes HP 160/Can,"CaviWipes HP is the newest member of the trusted CaviWipes family providing a
fast 1-minute universal contact time from an alcohol-free hydrogen peroxide
formulation that fully qualifies for the EPA’s rigorous Emerging Viral
Pathogen Claim. The High Performance disinfection protocol offered by
CaviWipes HP protects both patients and staff.

", Supplies ,Infection Control,Can,160,https://www.dcdental.com/CaviWipes-HP-16-1100,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 814-16-1100-CS , Metrex - Kerr TotalCare , 814-16-1100-CS ,CaviWipes HP 160/Can x 12/Cs,"CaviWipes HP is the newest member of the trusted CaviWipes family providing a
fast 1-minute universal contact time from an alcohol-free hydrogen peroxide
formulation that fully qualifies for the EPA’s rigorous Emerging Viral
Pathogen Claim. The High Performance disinfection protocol offered by
CaviWipes HP protects both patients and staff.

", Supplies ,Infection Control,Can x ,160,https://www.dcdental.com/CaviWipes-HP-16-1100-CS,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 814-16-1150 , Metrex - Kerr TotalCare , 814-16-1150 ,CaviWipes HP XL 65/Can,"CaviWipes HP is the newest member of the trusted CaviWipes family providing a
fast 1-minute universal contact time from an alcohol-free hydrogen peroxide
formulation that fully qualifies for the EPA’s rigorous Emerging Viral
Pathogen Claim. The High Performance disinfection protocol offered by
CaviWipes HP protects both patients and staff.

", Supplies ,Infection Control,Can,65,https://www.dcdental.com/CaviWipes-HP-16-1150,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 814-16-1150-CS , Metrex - Kerr TotalCare , 814-16-1150-CS ,CaviWipes HP XL 65/Can x 12/Cs,"CaviWipes HP is the newest member of the trusted CaviWipes family providing a
fast 1-minute universal contact time from an alcohol-free hydrogen peroxide
formulation that fully qualifies for the EPA’s rigorous Emerging Viral
Pathogen Claim. The High Performance disinfection protocol offered by
CaviWipes HP protects both patients and staff.

", Supplies ,Infection Control,Can x ,65,https://www.dcdental.com/CaviWipes-HP-16-1150-CS,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 517-DS-SUM-500 , Solmetex , 517-DS-SUM-500 ,DryShield Single-Use Mouthpiece Medium 20/Pk,"DryShield mouthpieces are made of a soft, flexible material designed to fit
comfortably in the patient’s mouth. Each mouthpiece incorporates a tongue and
oral pathway shield, airway protection, and cheek retractor.  
  
The Medium mouthpiece size is recommended for teens to adults, with existing
permanent 2nd molars.

  * Single-Use
  * Cannot be sterilized

", Supplies ,Evacuation,Pk,20,https://www.dcdental.com/DryShield-Single-Use-Mouthpiece-DS-SUM-500,https://www.dcdental.com/images/385555251566.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-506333 , Directa Dental , 736-506333 ,Luxator Kit 7/Pk,"Attains the correct working position - even with smaller hands. The blade is
10mm shorter than on regular Luxator Periotome. Preserved bone integrity and
dramatically less trauma for your patients and their dentition.  
  
4 reasons to use Luxator® Short Periotome:

  * Shorter blade
  * Atraumatic extractions
  * Maximum tactility
  * Wide range of sizes and shapes

", Supplies ,Instruments,Pk,7,https://www.dcdental.com/-506331_2,https://www.dcdental.com/images/455055422763.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 159-24-13077 , Keystone , 159-24-13077 ,Fortis Disposable Prophy Angles Firm Cup 100/Pk,"Fortis Disposable Prophy Angles are engineered to run longer, smoother, and
with less chatter than competitors, providing superior patient comfort and
less hand fatigue than traditional angles. Independent testing confirmed that
the Fortis angle’s design out-performs all other disposable prophy angles.  
  
These prophy angles have a second generation gear design with ergonomic grips
that reduce the potential fatigue through the hand and arm. The cups are
latex-free and are available in Soft Cup, Firm Cup, Pedo Cup and Tapered
Brush.

", Supplies ,Preventives,Pk,100,https://www.dcdental.com/Fortis-Prophy-Angles-24-13077,https://www.dcdental.com/images/413671343220.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 159-24-13277 , Keystone , 159-24-13277 ,Fortis Disposable Prophy Angles Pedo Cup 100/Pk,"Fortis Disposable Prophy Angles are engineered to run longer, smoother, and
with less chatter than competitors, providing superior patient comfort and
less hand fatigue than traditional angles. Independent testing confirmed that
the Fortis angle’s design out-performs all other disposable prophy angles.  
  
These prophy angles have a second generation gear design with ergonomic grips
that reduce the potential fatigue through the hand and arm. The cups are
latex-free and are available in Soft Cup, Firm Cup, Pedo Cup and Tapered
Brush.

", Supplies ,Preventives,Pk,100,https://www.dcdental.com/Fortis-Prophy-Angles-24-13277,https://www.dcdental.com/images/634323103560.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-C102-1 , Shofu Dental Corp. , 145-C102-1 ,Gingicurettage Diamonds C102-1 Each,"For crown and bridge preparation and grinding of tooth stumps.

", Supplies ,Burs & Diamonds,,,https://www.dcdental.com/Gingicurettage-Diamonds-C102-1-Each,https://www.dcdental.com/images/145530736873.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-C103-1 , Shofu Dental Corp. , 145-C103-1 ,Gingicurettage Diamonds C103-1 Each,"For crown and bridge preparation and grinding of tooth stumps.

", Supplies ,Burs & Diamonds,,,https://www.dcdental.com/Gingicurettage-Diamonds-C103-1-Each,https://www.dcdental.com/images/873062653428.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 688-BIO-L2-12 , Southland Distributors , 688-BIO-L2-12 ,Bio Lube Handpiece Lubricant w/Needle Dispenser 2oz,"  * Extends turbine life up to 32 months.
  * Eliminates costly repairs.
  * Handpieces run clean, smooth, and quiet.
  * Does not form sticky black residue.
  * Preserves bearings cages and O-rings.
  * Performance exceeds autoclave temperatures.
  * Safe for ALL handpieces and stations.
  * Biodegradable - NO hazardous shipping.
  * No lubrication necessary after sterilization.
  * Cleaner eliminates sticky residue that leads to sluggish handpiece syndrome and failure by evaporating old oil, dried blood, and saliva from internal parts while freeing up frozen turbines.

", Supplies ,Handpieces,,,https://www.dcdental.com/Bio-Lube-Dental-Handpiece-Lubricant-BIO-L2-12,https://www.dcdental.com/images/375001774268.01.png?resizeid=2&resizeh=600&resizew=600
