Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page URL,Attachment,Image URL
Implant Direct,857013U,Implant Direct,857013U,simplyLegacy3™ 7.0mmDx13mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-7-0mmdx13mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/857013u_1_2.png
Implant Direct,855708U,Implant Direct,855708U,simplyLegacy3™ 5.7mmDx8mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-7mmdx8mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855708u_1_2.png
Implant Direct,855710U,Implant Direct,855710U,simplyLegacy3™ 5.7mmDx10mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-7mmdx10mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855710u_1_2.png
Implant Direct,855206U,Implant Direct,855206U,simplyLegacy3™ 5.2mmDx6mmL SBM: 4.5mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-2mmdx6mml-sbm-4-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855206u_1_2.png
Implant Direct,8745-08N,Implant Direct,8745-08N,Legacy Narrow Open-Tray Transfer Concave Profile (4.7mmD Widthx4.5mmD Platform) - 1/Box,"Narrow, concave profile, open-tray implant transfer for Legacy implants. Includes fixation screw with 1.25mmD hex.Narrow, concave profile, open-tray implant transfer for Legacy implants. Includes fixation screw with 1.25mmD hex.",,,Implants,,https://store.implantdirect.com/us/en/legacy-narrow-open-tray-transfer-concave-profile-4-7mmd-widthx4-5mmd-platform-1-box,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/7/8745-08n_2.png
Implant Direct,603510U,Implant Direct,603510U,simplyRePlant 3.5mmDx10mmL SBM: 3.5mmD Platform Dental Implant System - 1/Pack,"simplyRePlant dental implants are two-piece implants for single-stage or two-stage surgical procedures. The mount-free packaging features a RePlant implant, cover screw, and 3mm healing collar.simplyRePlant® dental implants are two-piece, tri-lobe connection implants for single-stage or two-stage surgical procedures. RePlant offers a range of four implant diameters from 3.5-6.0mm with matching platforms. simplyRePlant Packaging:  All-in-1 Packaging supports both one and two stage surgery.  Package includes: Implant System: Implant Features:  1: Oh, E. & Kraut R. Effect of sinus membrane perforation on dental implant integration: A retrospective on 128 patients. Implant Dentistry, 20(1): 6, Table 3.
Cover screw
3mm healing collar

In a clinical study, RePlant implants demonstrated 98% success in sinus elevation cases1

Tri-lobe connection
Color-coded prosthetic interface for clear visual indication of interface size
Straight / tapered implant body design
Two cutting grooves - no bone taps required
Quadruple-lead micro-threads on coronal aspect designed to increase bone-implant contact and long-term stability in crestal bone area
Double-lead V threads
SBM surface
Made in the USA from medical-grade titanium alloy

Cover screw
3mm healing collar

In a clinical study, RePlant implants demonstrated 98% success in sinus elevation cases1

Tri-lobe connection
Color-coded prosthetic interface for clear visual indication of interface size
Straight / tapered implant body design
Two cutting grooves - no bone taps required
Quadruple-lead micro-threads on coronal aspect designed to increase bone-implant contact and long-term stability in crestal bone area
Double-lead V threads
SBM surface
Made in the USA from medical-grade titanium alloy
",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplyreplant-3-5mmdx10mml-sbm-3-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/6/0/603510u_1_2.png
Implant Direct,943314,Implant Direct,943314,SwishActive 3.3mmDx14mmL SBM: 3.0mmD Platform Dental Implant System - 1/Pack,"SwishActive™ dental implants are two-piece, bone-level conical connection implants for single-stage or two-stage surgical procedures. All-in-1 Packaging includes implant, cover screw, healing collar extender, and carrier that functions as a transfer.SwishActive™ dental implants are two-piece, bone-level conical connection implants for single-stage or two-stage surgical procedures. SwishActive offers two restorative platforms across three implant diameters ranging from 3.3-4.8mm. SwishActive Packaging:  All-in-1 Packaging supports both one- and two-stage surgery.1  Package includes: Implant Features:  1: except 6mm length implants
Cover screw
2mm concave profile healing collar1
Color-coded carrier/transfer

12° conical connection
Straight implant body design 
Single-lead buttress threads
Progressively-deeper buttress threads designed for increased bone-implant contact and improved primary stability
Carrier features indentations to match the flats on the internal connection, making indexing easier
Carrier functions as a closed-tray transfer
Color-coded carrier matches implant prosthetic platform/interface
Healing collar extender with concave transgingival profile optimized for esthetic areas 
SBM surface
Made in the USA from medical-grade titanium alloy

Cover screw
2mm concave profile healing collar1
Color-coded carrier/transfer

12° conical connection
Straight implant body design 
Single-lead buttress threads
Progressively-deeper buttress threads designed for increased bone-implant contact and improved primary stability
Carrier features indentations to match the flats on the internal connection, making indexing easier
Carrier functions as a closed-tray transfer
Color-coded carrier matches implant prosthetic platform/interface
Healing collar extender with concave transgingival profile optimized for esthetic areas 
SBM surface
Made in the USA from medical-grade titanium alloy
",Pack, 1,Implants,,https://store.implantdirect.com/us/en/swishactive-3-3mmdx14mml-sbm-3-0mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/9/4/943314_1_2.png
Implant Direct,854708U,Implant Direct,854708U,simplyLegacy3™ 4.7mmDx8mmL SBM: 4.5mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-4-7mmdx8mml-sbm-4-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/854708u_1_2.png
Implant Direct,LDT,Implant Direct,LDT,LOCATOR Abutment Driver for Square Drive Torque Wrench (21mm),"<!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
-->
4X4 square Locator Driver 21 mmLOCATOR Driver required for insertion of LOCATOR abutments. Available with length options for either handpiece or wrench connection.  ",,,Implants,,https://store.implantdirect.com/us/en/locator-abutment-driver-for-square-drive-torque-wrench-21mm,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/l/d/ldt_2.png
Implant Direct,LDD,Implant Direct,LDD,LOCATOR Torque Wrench Insert for Latch Type Torque Wrenches/Handpiece (29mm),"<!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
-->
Locator Driver 29mm latch connection  LOCATOR Driver required for insertion of LOCATOR abutments. Available with length options for either handpiece or wrench connection.",,,Implants,,https://store.implantdirect.com/us/en/locator-torque-wrench-insert-for-latch-type-torque-wrenches-handpiece-29mm,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/l/d/ldd_2.png
