Seller Platform,Seller SKu,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty ,Categories,Subcategories,Product URL,Image URL
Office Depot,9771579,AG2 TECHNOLOGY LLC,MAGNETICSIGN,Custom Magnetic Signs,"Increasing awareness of your brand and business name can make it more likely for casual customers to visit your store location or website. This A-frame sandwich board sign can be placed in high-traffic areas, putting your logo and business promotions in plain view of passersby.  A-frame signs or Signacades are great for daily advertising for your business or event.  Both interior inserts on each side can accommodate a 24"" x 36"" foam mounted poster that are easy to see, even from a distance.  Built in clips on both sides hold the insert in place without the need of tape, screws, or Velcro.  The stand and inserts are both water resistant and make it great for indoor or outdoor use.  Our sandwich board gives you the ability to add sand or water inside of the plastic frame to give it more stability in windy outdoor occasions.  Our sidewalk sign dimensions are 45""H x 25""W x 3""D.  Choose from our selection of predesigned templates to fit your needs for calling out your business, sales, and events.  Coming with a design or want to create your own, select our upload or create your own templates to begin your artwork process.  Also known as: Sandwich boards, Sidewalk signs, Curb signs, Standing signs  Production time: 3 - 5 days.",,1,Print & Copy,Large Format Printing,https://www.officedepot.com//a/products/9771579/Custom-Magnetic-Signs/,https://media.officedepot.com/images/products/9771579/9771579_o01_magnetic_sign/9771579_o01_magnetic_sign
Office Depot,870284,AG2 TECHNOLOGY LLC,COPIESANDFLYERS,Copies ,"Create eye-catching copies for your business or brand! You can use our copy and printing services to create customizable prints that draw your customer into your office or upcoming event.  Need it fast? Same-Day Pickup available if ordered before 2 PM at a location near you.  Keep their attention with clear and precise messaging, with Color or black & white options available.  Select from a variety of paper options including cardstocks, matte finish, gloss finish, synthetic, bright and pastel colors.  Several finishing options available including; folding, cutting, stapling, lamination and antimicrobial lamination which is treated to resist bacterial & fungal growth. An ideal option for medical offices, restaurants schools and more.  Letter, Legal and Ledger sizes available.  Print to edge/bleed option available under the Advanced Tab.  Not sure if you need your project bound? Now you can switch between Manuals, Spiral Bound, Comb Bound, Tape Bound, Wire Bound and 3 Ring Binder without leaving the Copies configurator. Select the one that best fits your project needs.",,1,Print & Copy,Document Printing,https://www.officedepot.com//a/products/870284/Copies/,"https://media.officedepot.com/images/products/870284/870284_o01_082622/870284_o01_082622,https://media.officedepot.com/images/products/870284/870284_o02_082622/870284_o02_082622,https://media.officedepot.com/images/products/870284/870284_o03_082622/870284_o03_082622,https://media.officedepot.com/images/products/870284/870284_o04_082622/870284_o04_082622,https://media.officedepot.com/images/products/870284/870284_o05_082622/870284_o05_082622"
Office Depot,7834998,REISCHLING PRESS INC,SAMEDAYPHOTO,"Custom Photo Print, Glossy","Make picture-perfect, high quality prints that will leave a lasting impression on anyone who sees them.  Get treasured images of your favorite moments.",,1,Print & Copy,Photo Printing & Gifts,https://www.officedepot.com//a/products/7834998/Custom-Photo-Print-Glossy/,https://media.officedepot.com/images/products/7834998/7834998_p/7834998_p
Office Depot,612855,ACME UNITED CORP,ACM13901,"Westcott&reg; Titanium Bonded Scissors, 8&quot;, Pointed, Gray/Yellow, Pack Of 2","Westcott Titanium Bonded Non-Stick blades are six times longer lasting than the previous formula. Westcott uses a process that bonds Titanium Bonded to the blades and then coats them with a breakthrough non-stick formula to produce an adhesive-resistant, easy-to-clean, and longer lasting cutting edge. Glide provides a no tool adjustable glide technology for optimal cutting performance. These scissors will stay sharp, smooth-cutting and residue-free for years making them an exceptional value like all Westcott products.  Glide provides a no tool adjustable glide technology for optimal cutting performance.  Allowing less tension for thin materials and higher tension for thicker materials.  Titanium Bonded blades are 6x longer lasting than the previous formula, so blades stay sharper, longer.  Non-stick coating makes blades corrosion and adhesive-resistant.  Perfect for cutting tape, Velcro fasteners or other adhesives.  Ideal for the mail room, art room, and scrapbooking.  Lifetime manufacturer's warranty.",,2,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/612855/Westcott-Titanium-Bonded-Scissors-8-Pointed/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/612855/612855_p_21164071/612855_p_21164071,https://media.officedepot.com/images/products/612855/612855_o51_et_8165866/612855_o51_et_8165866,https://media.officedepot.com/images/products/612855/612855_o55_et_6668771/612855_o55_et_6668771,https://media.officedepot.com/images/products/612855/612855_o57_et_4159836/612855_o57_et_4159836,https://media.officedepot.com/images/products/612855/612855_o65_et_4338669/612855_o65_et_4338669"
Office Depot,795756,AG2 TECHNOLOGY LLC,FLYERPR,Custom Flyers,"Get the word out there by distributing colorful, eye-catching flyers. You can use these customizable print pieces to draw customers to your office or upcoming event.  Colorful flyers provides a vibrant look to attract attention.  Print your company's messaging on colored paper or print in colored ink.  Various paper styles such as Matte, Gloss, Heavy Weight, and more are offered as paper options to upgrade your flyer to give it a more enhanced look.  Choose from our wide variety of pre-designed templates which include themes such as events, well-being, holidays, and many more to fit your needs. Or choose to upload or create your own template to fully personalize your own flyer.  Text fields and image uploads are offered on all templates, giving you the freedom to customize for any occasion.  Available in 4.2” x 5.5”, 4” x 6”, 5” x 7”, 8.5” x 11”, 8.5” x 14” and 11” x 17” sizes in portrait or landscape.",,1,Print & Copy,Document Printing,https://www.officedepot.com//a/products/795756/Custom-Flyers/,"https://media.officedepot.com/images/products/795756/795756_o01_062421/795756_o01_062421,https://media.officedepot.com/images/products/795756/795756_o02_062421/795756_o02_062421,https://media.officedepot.com/images/products/795756/795756_o04_062421/795756_o04_062421,https://media.officedepot.com/images/products/795756/795756_o05_062421/795756_o05_062421,https://media.officedepot.com/images/products/795756/795756_o06_062421/795756_o06_062421"
Office Depot,4067341,AG2 TECHNOLOGY LLC,YARDSIGNBASE,Custom Yard Signs &amp; Lawn Signs,"Adding a colorful yard sign to your home or business space provides an attention-grabbing way to attract new customers. This customizable yard sign can be printed on both sides and is made of coroplast board to handle wind, rain and other outdoor conditions.  Advertise your brand name or company logo to get the exposure you are looking for.  Great for Real Estate, Campaigns, Future Events, and Sales.  Choose from our selection of pre-designed templates to help you get started with an idea.  If you already have something in mind, choose our create your own or upload your own template to personalize your yard sign.  Yard Sign options below:  Adhesive Material option = Short term signage with an average of 1 - 3 month lifespan, available same day (Longevity varies based on weather conditions).  Print Direct to Coroplast = Long term signage with an average of 6 - 12 month lifespan, delivery only. (Longevity varies based on weather conditions)  Designed for use with an H stake stand or select our premium angle iron stand for our 18” x 24” size only. Stand sold separately.  Pick up your sign today if you order before 2pm by choosing our in-store pickup option.  Available in a standard 18” x 24” or our recommended size of 24” x 36”.  Also known as: Lawn signs, Bandit signs, Placards  Production time 3 - 10 days (Same day options available).",,1,Print & Copy,Large Format Printing,https://www.officedepot.com//a/products/4067341/Custom-Yard-Signs/,"https://media.officedepot.com/images/products/4067341/4067341_o01_021622/4067341_o01_021622,https://media.officedepot.com/images/products/4067341/4067341_o02_021622/4067341_o02_021622,https://media.officedepot.com/images/products/4067341/4067341_o03_021622/4067341_o03_021622,https://media.officedepot.com/images/products/4067341/4067341_o04_021622/4067341_o04_021622,https://media.officedepot.com/images/products/4067341/4067341_o05_021622/4067341_o05_021622"
Office Depot,6265804,REISCHLING PRESS INC,PHOTOBOOK,Custom Photo Book,"Display your favorite photos in a stylish photo book crafted to suit your style. Customize the size, layout and photos you want for a memorable way to show off milestone pictures.  Customize the layout of full-color photos for a striking look.  Hard cover with stitched binding keeps the pages in place.  Select from a variety of book sizes. Available sizes include: 5"" x 4"", 5"" x 5"", 8"" x 6"", 8"" x 8"", 11"" x 9"", 12"" x 12"" and 14"" x 11"".  Delivery 5-7 days",,1,Print & Copy,Photo Printing & Gifts,https://www.officedepot.com//a/products/6265804/Custom-Photo-Book/,"https://media.officedepot.com/images/products/6265804/6265804_p_photo_books_base/6265804_p_photo_books_base,https://media.officedepot.com/images/products/6265804/6265804_o02_photo_books_base/6265804_o02_photo_books_base"
Office Depot,458612,ACME UNITED ASIA PACIFIC LTD,0,"Office Depot&reg; Brand Scissors, 8&quot;, Straight, Black, Pack Of 2","Whether you're working on a school project, creating decorations or simply doing general house or office work, having a pair of straight Office Depot scissors can come in handy. Keep a pair in your desk or kitchen drawer, so they're simple to find when you need them.  Lightweight scissors are stainless steel with edge-ground blades. These scissors are built for durability.  Office Depot scissors are designed for left- or right-handed use.  Black scissors (8"") are ideal for home and office use.  Includes straight scissors in a pack of 2.",,2,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/458612/Office-Depot-Brand-Scissors-8-Straight/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,https://media.officedepot.com/images/products/458612/458612_p/458612_p
Office Depot,837278,ACME UNITED CORP,ACM-16467,"Westcott&reg; All-Purpose Value Stainless Steel Scissors, 8&quot;, Bent, Black","Ideal for light daily use in the home or office, these Westcott scissors deliver the smooth cutting performance you need. Stainless-steel blades slice through paper and other media.  Lightweight yet durable design. All-purpose scissors are great for everyday light-use like cutting paper, photos and ribbon.  Straight scissors are ideal for left- or right-handed use.  Made of corrosion- and rust-resistant stainless steel blades.  Backed by the manufacturer's 5-year limited warranty.",,1,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/837278/Westcott-All-Purpose-Value-Stainless-Steel/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,"https://media.officedepot.com/images/products/837278/837278_o01_100422/837278_o01_100422,https://media.officedepot.com/images/products/837278/837278_o02_100422/837278_o02_100422,https://media.officedepot.com/images/products/837278/837278_o03_100422/837278_o03_100422,https://media.officedepot.com/images/products/837278/837278_o04_100422/837278_o04_100422,https://media.officedepot.com/images/products/837278/837278_o05_100422/837278_o05_100422,https://media.officedepot.com/images/products/837278/837278_o06_100422/837278_o06_100422"
Office Depot,6522961,SP RICHARDS,25226BD,"Sparco Straight Scissors w/Rubber Grip Handle - 8&quot; Overall Length - Straight - Stainless Steel - Black, Gray - 3 / Bundle","Straight scissors feature a rubberized grip for more comfort and control. Corrosion-resistant, stainless steel blades keep a sharp edge longer. Blades are finely ground for smooth, constant cutting. Scissors are great for everyday use in your home office.    Perfect for smooth, consistent cutting with finely ground blades  Corrosion-resistant stainless steel blades for lasting sharper edge  Comfortable hold with rubberized grip  Firm grip for more control  Straight handle for cutting in-line with the center of the handle",,3,Office Supplies,Basic Supplies,https://www.officedepot.com//a/products/6522961/Sparco-Straight-Scissors-wRubber-Grip-Handle/;jsessionid=0000UIPTO6Ok1Zpwsw-KiRLpjJE:17h4h7bqh,https://media.officedepot.com/images/products/6522961/6522961_o51_et_9255692/6522961_o51_et_9255692
