Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page URL,Attachment,Image URL
Implant Direct,855708U,Implant Direct,855708U,simplyLegacy3™ 5.7mmDx8mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-7mmdx8mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855708u_1_2.png
Implant Direct,855710U,Implant Direct,855710U,simplyLegacy3™ 5.7mmDx10mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-7mmdx10mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855710u_1_2.png
Implant Direct,855206U,Implant Direct,855206U,simplyLegacy3™ 5.2mmDx6mmL SBM: 4.5mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-2mmdx6mml-sbm-4-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855206u_1_2.png
Implant Direct,854710U,Implant Direct,854710U,simplyLegacy3™ 4.7mmDx10mmL SBM: 4.5mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-4-7mmdx10mml-sbm-4-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/854710u_1_2.png
Implant Direct,EDUPASSPORT,Implant Direct,EDUPASSPORT,Education PASSPORT,"EDUPASSPORTTypically available exclusively at our Las Vegas Education Center, the ID Education PASSPORT gives you unlimited access to our core curriculum courses for 2 years with at least 50% savings in tuition.",,,Implants,,https://store.implantdirect.com/us/en/education-passport,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/p/a/passport_3.png
Implant Direct,855216U,Implant Direct,855216U,simplyLegacy3™ 5.2mmDx16mmL SBM: 4.5mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-2mmdx16mml-sbm-4-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855216u_1_2.png
Implant Direct,857008U,Implant Direct,857008U,simplyLegacy3™ 7.0mmDx8mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-7-0mmdx8mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/857008u_1_2.png
Implant Direct,854216U,Implant Direct,854216U,simplyLegacy3™ 4.2mmDx16mmL SBM: 3.5mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-4-2mmdx16mml-sbm-3-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/854216u_1_2.png
Implant Direct,853210U,Implant Direct,853210U,simplyLegacy3™ 3.2mmDx10mmL SBM: 3.0mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-3-2mmdx10mml-sbm-3-0mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/853210u_1_2.png
Implant Direct,854706U,Implant Direct,854706U,simplyLegacy3™ 4.7mmDx6mmL SBM: 4.5mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.Implant Direct simplyLegacy3™ Implant SystemFeatures & Benefits• Internal connection with 1.5mm long hex & internal lead-in bevel• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment• Two self-tapping grooves, extending halfway up implant• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet• Connection: Color-coded internal hex with lead-in bevel• Surface: SBM (Soluble Blast Media)• Surgical Instruments: Spectra-System surgical kit• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threads",Pack, 1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-4-7mmdx6mml-sbm-4-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/854706u_1_2.png
