Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Packaging,Qty,Categories,Subcategories,Product Page URL,Attachment,Image URL
Implant Direct,605008U,Implant Direct,605008U,simplyRePlant 5.0mmDx8mmL SBM: 5.0mmD Platform Dental Implant System - 1/Pack,"simplyRePlant dental implants are two-piece implants for single-stage or two-stage surgical procedures. The mount-free packaging features a RePlant implant, cover screw, and 3mm healing collar. One of our simplyIntegrated solutions, simplyRePlant is a mount-free implant that includes the components you need for the surgical phase of treatment:

  • Implant
  • Cover screw 
  • 3mm healing collar
  
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.More Information Length8mmL ConnectionTrilobe Platform DiameterBlue / 5.0mmD Implant Platform / DiameterBlue / 5.0mmD SystemsimplyRePlant Thread TypeV thread SurfaceSBM",Pack,1,Implants,,https://store.implantdirect.com/us/en/simplyreplant-5-0mmdx8mml-sbm-5-0mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/6/0/605008u_1_2.png
Implant Direct,603510U,Implant Direct,603510U,simplyRePlant 3.5mmDx10mmL SBM: 3.5mmD Platform Dental Implant System - 1/Pack,"simplyRePlant dental implants are two-piece implants for single-stage or two-stage surgical procedures. The mount-free packaging features a RePlant implant, cover screw, and 3mm healing collar. simplyRePlant® dental implants are two-piece, tri-lobe connection implants for single-stage or two-stage surgical procedures.
 
RePlant offers a range of four implant diameters from 3.5-6.0mm with matching platforms. 

simplyRePlant Packaging: 
 
All-in-1 Packaging supports both one and two stage surgery.  Package includes:

Cover screw
3mm healing collar

 
Implant System:

In a clinical study, RePlant implants demonstrated 98% success in sinus elevation cases1

 
Implant Features: 

Tri-lobe connection
Color-coded prosthetic interface for clear visual indication of interface size
Straight / tapered implant body design
Two cutting grooves - no bone taps required
Quadruple-lead micro-threads on coronal aspect designed to increase bone-implant contact and long-term stability in crestal bone area
Double-lead V threads
SBM surface
Made in the USA from medical-grade titanium alloy

 
1: Oh, E. & Kraut R. Effect of sinus membrane perforation on dental implant integration: A retrospective on 128 patients. Implant Dentistry, 20(1): 6, Table 3.#html-body [data-pb-style=""616AAE83E8D18""]{justify-content: flex-start; display: flex; flex-direction: column; background-position: left top; background-size: cover; background-repeat: no-repeat; background-attachment: scroll; border-style: none; border-width: 1px; border-radius: 0px; margin: 0px 0px 10px; padding: 10px;}#html-body [data-pb-style=""616AAE83E8D2C""]{border-style: none; border-width: 1px; border-radius: 0px; margin: 0px; padding: 0px;}More Information Length10mmL ConnectionTrilobe Platform DiameterPurple / 3.5mmD Implant Platform / DiameterPurple / 3.5mmD SystemsimplyRePlant Thread TypeV thread SurfaceSBM",Pack,1,Implants,,https://store.implantdirect.com/us/en/simplyreplant-3-5mmdx10mml-sbm-3-5mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/6/0/603510u_1_2.png
Implant Direct,604308U,Implant Direct,604308U,simplyRePlant 4.3mmDx8mmL SBM: 4.3mmD Platform Dental Implant System - 1/Pack,"simplyRePlant dental implants are two-piece implants for single-stage or two-stage surgical procedures. The mount-free packaging features a RePlant implant, cover screw, and 3mm healing collar. One of our simplyIntegrated solutions, simplyRePlant is a mount-free implant that includes the components you need for the surgical phase of treatment:

  • Implant
  • Cover screw 
  • 3mm healing collar
  
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.More Information Length8mmL ConnectionTrilobe Platform DiameterGold / 4.3mmD Implant Platform / DiameterGold / 4.3mmD SystemsimplyRePlant Thread TypeV thread SurfaceSBM",Pack,1,Implants,,https://store.implantdirect.com/us/en/simplyreplant-4-3mmdx8mml-sbm-4-3mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/6/0/604308u_1_2.png
Implant Direct,604310U,Implant Direct,604310U,simplyRePlant 4.3mmDx10mmL SBM: 4.3mmD Platform Dental Implant System - 1/Pack,"simplyRePlant dental implants are two-piece implants for single-stage or two-stage surgical procedures. The mount-free packaging features a RePlant implant, cover screw, and 3mm healing collar. One of our simplyIntegrated solutions, simplyRePlant is a mount-free implant that includes the components you need for the surgical phase of treatment:

  • Implant
  • Cover screw 
  • 3mm healing collar
  
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system.More Information Length10mmL ConnectionTrilobe Platform DiameterGold / 4.3mmD Implant Platform / DiameterGold / 4.3mmD SystemsimplyRePlant Thread TypeV thread SurfaceSBM",Pack,1,Implants,,https://store.implantdirect.com/us/en/simplyreplant-4-3mmdx10mml-sbm-4-3mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/6/0/604310u_1_2.png
Implant Direct,855708U,Implant Direct,855708U,simplyLegacy3™ 5.7mmDx8mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system. Implant Direct simplyLegacy3™ Implant System
Features & Benefits
• Internal connection with 1.5mm long hex & internal lead-in bevel
• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress
• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery
• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment
• Two self-tapping grooves, extending halfway up implant
• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet
• Connection: Color-coded internal hex with lead-in bevel
• Surface: SBM (Soluble Blast Media)
• Surgical Instruments: Spectra-System surgical kit
• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant
• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threadsMore Information Length8mmL ConnectionInternal Hex Platform DiameterGold / 5.7mmD Implant Platform / DiameterGold / 5.7mmD SystemsimplyLegacy3 Thread TypeButtress SurfaceSBM",Pack,1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-7mmdx8mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855708u_1_2.png
Implant Direct,855710U,Implant Direct,855710U,simplyLegacy3™ 5.7mmDx10mmL SBM: 5.7mmD Platform Dental Implant System - 1/Pack,"One of our simplyIntegrated solutions, simplyLegacy3 is a mount-free implant that includes the components you need for the surgical phase of treatment:
• Implant
• Cover screw
• 3mm healing collar
Pair with the treatment-specific prosthetic SMART PACKS that fits your case to realize the full benefits of this revolutionary system. Implant Direct simplyLegacy3™ Implant System
Features & Benefits
• Internal connection with 1.5mm long hex & internal lead-in bevel
• Double-lead buttress threads for improved insertion & initial stability, quadruple-lead threads near top for increased thread engagement & reduced stress
• 2mm extender retained by cover screw for use as a healing collar or for one or two-stage surgery
• Color-coded carrier usable as a closed-tray transfer and/or final full-contour abutment
• Two self-tapping grooves, extending halfway up implant
• Surgical flexibility with multiple insertion options: choose between implant level insertion with hex driver or fixture- mount insertion with either 2.5mm hex driver or ratchet
• Connection: Color-coded internal hex with lead-in bevel
• Surface: SBM (Soluble Blast Media)
• Surgical Instruments: Spectra-System surgical kit
• Implant Lengths: 6 / 8 / 10 /11.5 /13 / 16mm. Even taper with two cutting grooves halfway up implant
• Implant Threads: Micro-threads with double-lead, progressively deeper buttress threadsMore Information Length10mmL ConnectionInternal Hex Platform DiameterGold / 5.7mmD Implant Platform / DiameterGold / 5.7mmD SystemsimplyLegacy3 Thread TypeButtress SurfaceSBM",Pack,1,Implants,,https://store.implantdirect.com/us/en/simplylegacy3tm-5-7mmdx10mml-sbm-5-7mmd-platform-dental-implant-system-1-pack,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/5/855710u_1_2.png
Implant Direct,EDU-102222,Implant Direct,EDU-102222,"Lifestyle and Legacy - October 21-22, 2022 - Las Vegas, NV","
Money in Your Life and Practice
The New Patient Experience/Phone Call
Beliefs – Mastering Your Thoughts
Trust and Value in Yourself/Team/Patients
Stages in the Life of a Practice
Self Esteem and Self Worth – Knowing Your Value
Leadership and Engagement
Flow – Seeking Fulfillment in Everyday Practice
Profitability Model for Practice
Dental “Insurance”

Course Length:  2-Day
Instructor:  JB White, DDS
Course Location:  UNLV School of Dental Medicine, 1700 W Charleston Blvd., Building D, Second Floor, Las Vegas, NV 89102 #html-body [data-pb-style=QHEGOGR]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;border-style:none;border-width:1px;border-radius:0;margin:0 0 10px;padding:10px}#html-body [data-pb-style=F8KWB5W]{border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}Navigating your career in today’s dental climate is challenging. Many dentists quickly realize our profession and their life is very different from what they expected. Instead of a rewarding career helping others and honing our clinical skills, we find ourselves just trying to survive. Drowning in debt, afraid of making poor practice ownership decisions, we have few options and little control. We ask around and start to understand that the mature dentists in our community have few answers, many have become discouraged, their future uncertain and time limited. This course is a blueprint for the courageous. Those who want to take themselves and their team and create the practice of their dreams. This course is for practice owners, future practice owners, spouses, and all dental team members.More Information Passport ApprovedYes CE Credits14 CE Surgical or NonSurgical-Non-Surgical",,,Implants,,https://store.implantdirect.com/us/en/catalog/product/view/id/3722/s/lifestyle-and-legacy-october-21-22-2022-las-vegas-nv/category/117/,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/l/i/lifestyle-_-legacy_2.jpg
Implant Direct,8757-13,Implant Direct,8757-13,Legacy Healing Collar (6.6mmD Widthx5.7mmD Platformx3mmL Collar Height) - 1/Box,Concave profile healing collar for Legacy implants. Requires 1.25mmD hex tool. Concave profile healing collar for Legacy implants. Requires 1.25mmD hex tool.More Information Collar Height3mmL Product TypeHealing Collar Concave Profile Abutment Height3mmL Prosthetic Length3.0mmL SystemLegacy WidthRegular,Box,1,Implants,,https://store.implantdirect.com/us/en/legacy-healing-collar-6-6mmd-widthx5-7mmd-platformx3mml-collar-height-1-box-1,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/7/8757-13_2.png
Implant Direct,8757-15N,Implant Direct,8757-15N,Legacy Healing Collar (5.8mmD Widthx5.7mmD Platformx5mmL Collar Height) - 1/Box,"Narrow, concave profile healing collar for Legacy implants. Requires 1.25mmD hex tool. Narrow, concave profile healing collar for Legacy implants. Requires 1.25mmD hex tool.More Information Collar Height5mmL Product TypeHealing Collar Concave Narrow Abutment Height5mmL Prosthetic Length5.0mmL SystemLegacy WidthNarrow",Box,1,Implants,,https://store.implantdirect.com/us/en/legacy-healing-collar-5-8mmd-widthx5-7mmd-platformx5mml-collar-height-1-box,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/8/7/8757-15n_2.png
Implant Direct,ZST09565,Implant Direct,ZST09565,Chairside Processing Material -18ml," <!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
-->
<!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
-->
Convert existing dentures easily and efficiently with Zest Dental Solutions’ Chairside Attachment Processing Material. This 18ml cartridge, one of two available sizes, is ideal for immediate full arch fixed provisional prostheses. 
10x Maximum uses
Includes: Cartridge and 10 mixing tips
Cost Efficient• No primer required for reduced chairtime• Shorter mixing tip reduces material waste and cost per case*Simple Application • Ideal viscosity for accurate application• Bonds to itself for efficient void fill and touch-ups• Dual cure capability provides convenient self or light cure flexibilityPatient Friendly• Low curing temperature ensures patient comfort • Odorless and tasteless to increase patient acceptance
*Compared to the leading brands.",,,Implants,,https://store.implantdirect.com/us/en/chairside-processing-material-18ml,,https://store.implantdirect.com/us/en/media/catalog/product/cache/04d236b1062a66fda28e671d2b02aa59/0/9/09565i.png
